,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S01011630,255,73,93,0,74,2,9,2,2
S01011631,245,13,50,0,168,5,6,2,1
S01011632,315,53,96,1,141,3,17,2,2
S01011633,321,55,84,2,138,23,16,2,1
S01011634,235,20,58,13,44,79,19,1,1
S01011635,274,18,67,7,5,148,26,1,2
S01011636,283,49,92,1,114,8,16,2,1
S01011637,299,68,98,0,105,3,22,2,1
S01011638,260,62,87,0,51,30,27,3,0
S01011639,250,55,69,0,94,4,21,5,2
S01011640,259,57,86,0,49,53,11,3,0
S01011641,195,82,105,0,2,1,2,0,3
S01011642,352,118,125,0,13,87,9,0,0
S01011643,238,40,120,0,39,1,34,3,1
S01011644,339,105,126,0,19,62,21,2,4
S01011645,257,89,81,0,67,0,17,2,1
S01011646,262,129,123,0,3,1,6,0,0
S01011647,330,74,220,0,8,2,24,1,1
S01011648,276,37,136,0,80,10,12,0,1
S01011649,243,35,80,1,99,4,20,3,1
S01011650,308,113,109,0,59,3,20,0,4
S01011651,446,125,171,1,71,3,68,4,3
S01011652,311,105,155,0,14,0,32,2,3
S01011653,340,73,123,0,111,2,24,3,4
S01011654,521,88,135,0,190,16,72,9,11
S01011655,471,66,95,1,212,24,59,9,5
S01011656,287,32,50,1,183,1,19,1,0
S01011657,281,25,58,2,157,3,30,6,0
S01011658,304,60,114,0,97,4,14,3,12
S01011659,353,83,92,0,132,24,17,2,3
S01011660,379,129,173,0,48,2,20,3,4
S01011661,246,68,96,0,33,31,15,0,3
S01011662,237,51,167,0,4,0,13,0,2
S01011663,428,23,109,2,215,41,35,1,2
S01011664,408,62,150,0,172,5,14,4,1
S01011665,428,43,107,0,215,14,40,8,1
S01011666,454,85,85,3,187,65,26,1,2
S01011667,375,70,112,2,124,26,30,5,6
S01011668,429,49,117,0,225,1,33,3,1
S01011669,299,114,108,0,38,2,28,6,3
S01011670,234,34,74,0,98,1,22,2,3
S01011671,316,113,118,0,50,0,26,4,5
S01011672,275,78,71,0,102,2,18,4,0
S01011673,275,60,89,0,108,0,14,2,2
S01011674,434,98,204,8,69,27,21,3,4
S01011675,387,78,152,0,129,4,19,2,3
S01011676,311,50,92,0,151,2,15,1,0
S01011677,258,22,125,0,32,5,67,2,5
S01011678,222,52,40,0,114,0,15,1,0
S01011679,204,33,146,0,7,1,16,0,1
S01011680,454,76,103,2,231,22,16,3,1
S01011681,345,66,133,0,128,2,12,4,0
S01011682,182,74,84,1,2,1,12,4,4
S01011683,306,74,119,0,83,1,23,2,4
S01011684,234,72,98,1,48,1,9,4,1
S01011685,279,56,197,0,9,0,14,1,2
S01011686,344,127,181,1,10,1,18,3,3
S01011687,386,66,145,2,147,2,21,0,3
S01011688,307,65,162,0,52,4,16,4,4
S01011689,248,77,147,1,10,1,7,2,3
S01011690,396,63,230,1,80,3,14,2,3
S01011691,224,42,138,0,22,1,17,3,1
S01011692,455,81,139,0,203,8,19,4,1
S01011693,367,86,188,0,46,3,31,10,3
S01011694,200,22,141,0,22,2,13,0,0
S01011695,333,66,229,0,17,0,19,2,0
S01011696,351,57,275,0,3,1,9,3,3
S01011697,398,74,235,0,59,4,20,2,4
S01011698,271,74,112,3,64,7,5,3,3
S01011699,387,143,192,0,18,2,21,8,3
S01011700,354,132,125,0,75,2,18,1,1
S01011701,444,162,205,0,7,22,43,2,3
S01011702,335,123,126,0,65,3,9,5,4
S01011703,255,114,105,0,8,4,22,2,0
S01011704,274,69,174,2,17,0,10,1,1
S01011705,318,49,144,0,104,0,14,2,5
S01011706,450,154,176,0,55,26,26,5,8
S01011707,283,133,129,0,5,9,5,1,1
S01011708,448,136,144,0,95,35,30,1,7
S01011709,370,106,180,0,70,1,10,1,2
S01011710,257,33,62,0,121,32,6,0,3
S01011711,321,41,74,0,181,3,20,1,1
S01011712,294,56,115,0,85,9,20,7,2
S01011713,389,130,174,0,63,4,12,5,1
S01011714,194,22,166,0,3,2,1,0,0
S01011715,297,49,97,0,121,1,24,5,0
S01011716,351,65,241,0,17,2,18,5,3
S01011717,294,144,136,0,4,1,7,0,2
S01011718,289,36,219,0,12,0,18,3,1
S01011719,224,43,166,0,1,2,8,4,0
S01011720,213,99,93,0,2,3,8,6,2
S01011721,305,90,157,0,49,0,8,0,1
S01011722,317,104,126,1,57,3,22,2,2
S01011723,397,98,202,0,63,2,28,3,1
S01011724,261,31,146,1,3,60,18,2,0
S01011725,219,20,185,0,3,0,9,1,1
S01011726,208,34,165,0,2,1,5,1,0
S01011727,261,39,194,1,2,2,18,5,0
S01011728,393,101,177,0,69,4,33,5,4
S01011729,302,54,106,1,116,2,19,0,4
S01011730,431,174,192,2,35,0,25,1,2
S01011731,352,132,149,2,46,3,16,0,4
S01011732,299,136,153,0,5,0,3,1,1
S01011733,352,116,165,0,43,1,21,1,5
S01011734,335,113,143,0,15,41,18,3,2
S01011735,288,137,138,0,0,6,6,0,1
S01011736,317,84,145,1,10,21,44,11,1
S01011737,294,71,116,0,14,30,50,9,4
S01011738,466,97,158,0,38,79,82,10,2
S01011739,226,72,95,0,21,24,14,0,0
S01011740,356,61,86,6,37,123,39,1,3
S01011741,296,81,100,3,27,51,28,3,3
S01011742,333,90,126,3,8,87,17,1,1
S01011743,379,107,150,0,18,52,47,2,3
S01011744,462,125,117,0,28,117,65,4,6
S01011745,398,98,104,0,28,134,22,7,5
S01011746,215,46,76,0,20,43,27,1,2
S01011747,413,73,124,1,42,113,55,4,1
S01011748,375,61,141,1,21,61,85,3,2
S01011749,370,27,91,0,37,91,119,3,2
S01011750,398,108,142,2,16,87,29,10,4
S01011751,532,63,161,2,56,123,110,12,5
S01011752,460,88,225,0,24,47,62,4,10
S01011753,366,135,180,0,7,5,32,4,3
S01011754,339,101,135,15,16,42,22,6,2
S01011755,456,86,187,0,74,32,67,8,2
S01011756,430,87,205,0,53,23,56,4,2
S01011757,327,67,120,0,63,39,36,1,1
S01011758,252,52,136,0,37,6,16,3,2
S01011759,340,114,147,0,36,19,18,1,5
S01011760,411,102,185,0,49,37,36,1,1
S01011761,272,37,134,0,39,27,29,4,2
S01011762,322,62,116,0,52,33,52,6,1
S01011763,350,82,180,0,50,21,14,2,1
S01011764,136,44,75,0,6,6,1,2,2
S01011765,380,93,251,0,8,2,18,6,2
S01011766,209,68,116,0,14,1,8,1,1
S01011767,443,110,140,2,115,23,44,7,2
S01011768,342,46,115,0,61,73,41,5,1
S01011769,321,107,105,0,13,50,39,2,5
S01011770,409,112,138,2,25,74,52,6,0
S01011771,238,51,171,0,6,1,5,2,2
S01011772,390,140,229,0,6,6,5,3,1
S01011773,200,26,164,0,3,0,6,0,1
S01011774,354,34,182,0,7,99,28,1,3
S01011775,228,40,176,0,1,1,6,3,1
S01011776,319,43,255,0,3,2,11,3,2
S01011777,264,48,167,0,3,24,16,4,2
S01011778,261,25,143,0,3,34,56,0,0
S01011779,324,112,186,0,1,2,20,1,2
S01011780,315,99,205,0,4,0,5,1,1
S01011781,214,69,138,0,2,2,1,1,1
S01011782,271,103,159,0,4,1,2,1,1
S01011783,213,79,122,1,4,0,5,1,1
S01011784,349,58,130,0,53,81,23,0,4
S01011785,389,82,165,1,73,33,31,3,1
S01011786,124,10,103,0,2,2,5,2,0
S01011787,483,90,129,0,242,1,10,6,5
S01011788,225,72,141,0,3,0,7,1,1
S01011789,284,114,108,1,41,1,12,2,5
S01011790,404,96,148,2,135,5,16,0,2
S01011791,347,69,105,1,94,34,34,7,3
S01011792,515,129,120,1,127,71,52,11,4
S01011793,327,121,115,0,46,1,32,7,5
S01011794,414,103,127,0,138,3,35,2,6
S01011795,317,65,79,0,122,3,41,3,4
S01011796,354,52,91,0,175,2,26,5,3
S01011797,385,164,204,0,4,1,7,2,3
S01011798,242,37,101,0,72,2,22,6,2
S01011799,357,140,155,0,51,0,7,1,3
S01011800,219,63,87,0,55,0,12,1,1
S01011801,253,45,82,2,108,2,11,3,0
S01011802,361,93,116,1,126,1,17,4,3
S01011803,236,51,94,0,63,11,12,3,2
S01011804,379,120,82,13,89,28,37,7,3
S01011805,279,120,51,1,31,5,47,14,10
S01011806,362,164,86,3,13,48,35,4,9
S01011807,444,241,119,3,6,11,37,8,19
S01011808,287,117,70,13,16,34,25,5,7
S01011809,302,163,80,3,5,8,29,6,8
S01011810,413,220,114,2,10,23,23,7,14
S01011811,436,246,123,0,1,8,28,9,21
S01011812,275,138,92,2,7,0,14,6,16
S01011813,306,146,95,5,6,19,27,2,6
S01011814,297,156,95,2,5,8,9,4,18
S01011815,313,124,102,24,4,26,23,4,6
S01011816,257,131,88,0,2,3,20,4,9
S01011817,294,149,94,1,4,1,27,3,15
S01011818,486,187,144,29,15,66,29,0,16
S01011819,438,131,143,1,81,9,32,21,20
S01011820,319,100,95,19,19,44,21,7,14
S01011821,223,31,39,16,5,88,36,3,5
S01011822,410,96,65,3,86,21,114,9,16
S01011823,290,99,85,0,66,4,19,4,13
S01011824,316,79,88,0,110,1,29,7,2
S01011825,275,93,77,1,40,1,43,12,8
S01011826,320,107,76,7,6,58,49,10,7
S01011827,289,165,28,1,41,13,23,7,11
S01011828,411,231,102,1,14,9,28,7,19
S01011829,195,89,62,2,11,5,16,1,9
S01011830,279,155,55,1,16,18,18,4,12
S01011831,425,272,61,0,18,7,34,5,28
S01011832,405,222,55,2,30,22,30,13,31
S01011833,360,155,162,0,12,1,22,2,6
S01011834,180,66,85,6,1,7,9,2,4
S01011835,278,116,124,0,6,0,27,2,3
S01011836,332,180,121,1,10,3,11,2,4
S01011837,255,107,107,0,6,1,15,4,15
S01011838,327,164,136,1,5,1,12,2,6
S01011839,444,202,178,0,6,2,48,2,6
S01011840,406,148,171,0,34,17,23,10,3
S01011841,415,119,147,5,53,42,43,6,0
S01011842,462,126,157,0,134,8,27,3,7
S01011843,415,216,132,0,10,11,28,5,13
S01011844,295,133,115,0,10,3,21,3,10
S01011845,382,118,133,4,58,22,34,6,7
S01011846,385,159,125,1,31,10,34,9,16
S01011847,178,77,79,0,2,0,13,1,6
S01011848,305,134,91,0,23,7,31,4,15
S01011849,352,106,144,3,29,16,42,4,8
S01011850,314,128,95,0,3,3,62,10,13
S01011851,368,107,104,0,59,9,74,4,11
S01011852,460,116,143,0,50,82,59,5,5
S01011853,304,103,112,4,11,12,51,8,3
S01011854,356,176,87,0,11,28,35,7,12
S01011855,364,92,118,3,123,2,23,0,3
S01011856,309,182,108,0,1,1,10,1,6
S01011857,301,107,67,1,36,0,70,1,19
S01011858,403,237,92,0,8,23,25,1,17
S01011859,446,193,86,0,71,58,26,4,8
S01011860,206,64,36,0,1,2,75,8,20
S01011861,343,155,75,1,5,3,85,5,14
S01011862,425,243,126,1,4,21,18,4,8
S01011863,328,139,96,2,19,25,31,10,6
S01011864,315,183,112,0,1,1,13,3,2
S01011865,291,123,83,1,28,20,27,3,6
S01011866,341,142,106,1,65,3,20,2,2
S01011867,444,74,125,15,156,39,25,3,7
S01011868,416,159,112,5,39,30,60,5,6
S01011869,409,130,107,8,10,20,107,16,11
S01011870,315,102,80,1,12,74,35,8,3
S01011871,438,131,123,7,19,36,86,10,26
S01011872,365,146,130,1,9,0,58,8,13
S01011873,339,103,118,0,4,0,100,6,8
S01011874,285,89,120,20,28,3,20,1,4
S01011875,322,113,104,1,49,14,33,4,4
S01011876,398,140,107,1,22,13,96,3,16
S01011877,262,105,76,0,23,2,44,3,9
S01011878,379,141,101,2,16,5,70,6,38
S01011879,218,102,95,1,3,0,12,2,3
S01011880,241,104,83,0,21,1,11,3,18
S01011881,371,120,119,19,20,32,50,6,5
S01011882,450,151,148,1,68,56,17,2,7
S01011883,439,168,182,4,19,13,33,5,15
S01011884,169,72,61,0,2,0,21,4,9
S01011885,270,91,143,2,0,10,19,3,2
S01011886,368,139,151,0,37,13,15,1,12
S01011887,230,81,89,0,40,4,7,5,4
S01011888,369,89,123,1,93,36,16,5,6
S01011889,430,194,143,0,48,2,36,1,6
S01011890,300,101,127,0,22,4,41,3,2
S01011891,378,61,78,13,64,92,52,13,5
S01011892,503,117,226,0,6,0,129,18,7
S01011893,500,141,132,14,53,34,106,8,12
S01011894,291,99,87,2,42,1,55,2,3
S01011895,305,169,97,0,1,2,25,4,7
S01011896,421,175,154,0,32,3,45,4,8
S01011897,436,201,165,0,37,1,26,2,4
S01011898,246,98,123,0,0,0,23,0,2
S01011899,352,197,129,0,1,1,16,3,5
S01011900,293,144,136,2,1,0,5,1,4
S01011901,397,167,144,1,5,10,64,1,5
S01011902,465,249,174,0,7,7,20,4,4
S01011903,352,207,124,0,2,0,13,1,5
S01011904,324,157,137,10,2,2,11,2,3
S01011905,280,118,141,1,4,1,12,2,1
S01011906,201,92,93,0,2,0,12,1,1
S01011907,338,116,163,0,5,12,37,3,2
S01011908,147,37,84,1,6,0,17,1,1
S01011909,404,38,262,44,12,1,42,3,2
S01011910,464,62,96,1,185,86,28,4,2
S01011911,285,72,100,0,93,4,8,1,7
S01011912,327,62,107,0,127,2,18,6,5
S01011913,365,44,98,2,190,10,16,2,3
S01011914,360,37,94,1,181,12,26,3,6
S01011915,337,72,111,0,91,43,18,2,0
S01011916,232,44,61,2,92,14,11,7,1
S01011917,232,67,83,0,57,4,14,3,4
S01011918,368,23,49,0,43,223,21,6,3
S01011919,390,63,76,43,68,81,51,6,2
S01011920,291,63,95,3,84,22,18,3,3
S01011921,285,44,80,0,136,5,15,2,3
S01011922,356,54,104,1,166,4,23,2,2
S01011923,383,44,92,12,67,141,17,5,5
S01011924,206,44,62,0,83,0,15,0,2
S01011925,264,32,189,10,18,2,8,2,3
S01011926,298,61,112,0,92,3,25,3,2
S01011927,285,55,98,1,113,1,15,1,1
S01011928,338,85,102,0,106,0,30,8,7
S01011929,319,70,111,1,115,3,17,1,1
S01011930,294,62,88,0,108,1,28,4,3
S01011931,250,16,44,1,33,128,23,5,0
S01011932,300,32,120,9,24,46,57,9,3
S01011933,344,58,83,2,49,52,89,7,4
S01011934,520,163,151,0,29,21,139,4,13
S01011935,459,89,79,5,51,35,191,6,3
S01011936,380,87,99,1,23,44,112,7,7
S01011937,408,35,76,13,46,94,131,8,5
S01011938,400,98,93,1,66,5,116,13,8
S01011939,446,55,88,3,69,76,138,15,2
S01011940,266,20,38,1,27,63,109,5,3
S01011941,441,40,74,0,37,13,256,17,4
S01011942,573,103,78,2,77,81,214,14,4
S01011943,715,71,102,15,143,122,245,11,6
S01011944,188,105,52,0,1,2,21,1,6
S01011945,313,198,93,0,2,3,11,1,5
S01011946,377,126,89,0,85,40,35,1,1
S01011947,214,12,16,0,0,41,123,19,3
S01011948,527,195,131,1,76,57,59,4,4
S01011949,392,276,90,0,5,2,11,2,6
S01011950,348,153,86,0,60,24,17,4,4
S01011951,306,124,97,5,33,1,38,3,5
S01011952,200,88,97,0,1,0,10,2,2
S01011953,325,156,125,0,3,3,27,3,8
S01011954,230,57,76,0,69,10,13,1,4
S01011955,467,161,142,1,66,28,57,6,6
S01011956,392,142,192,1,20,3,27,2,5
S01011957,325,101,86,0,8,20,85,10,15
S01011958,481,186,113,0,38,3,111,11,19
S01011959,365,144,115,1,27,0,56,8,14
S01011960,325,100,154,0,0,3,51,1,16
S01011961,311,87,151,2,17,22,24,4,4
S01011962,264,95,130,1,1,1,26,3,7
S01011963,231,52,111,0,36,25,4,0,3
S01011964,453,152,164,10,27,0,79,9,12
S01011965,381,181,123,0,48,6,14,4,5
S01011966,351,148,143,1,19,4,30,2,4
S01011967,420,165,143,0,6,25,66,7,8
S01011968,478,159,175,0,44,3,87,8,2
S01011969,480,158,147,4,76,38,44,4,9
S01011970,432,88,119,2,137,25,51,8,2
S01011971,243,107,93,0,11,3,21,0,8
S01011972,512,192,127,1,22,2,135,6,27
S01011973,272,103,96,0,30,4,20,6,13
S01011974,320,133,125,5,7,5,28,1,16
S01011975,199,78,62,0,18,1,26,5,9
S01011976,353,142,114,0,38,1,48,3,7
S01011977,508,159,129,4,70,60,63,10,13
S01011978,351,137,79,1,74,19,35,3,3
S01011979,397,152,153,1,25,1,45,4,16
S01011980,182,87,40,0,4,1,34,4,12
S01011981,396,122,66,8,14,18,102,29,37
S01011982,414,131,88,0,7,4,129,11,44
S01011983,351,150,57,1,24,22,75,10,12
S01011984,315,61,59,0,115,57,16,5,2
S01011985,293,124,104,2,12,1,38,6,6
S01011986,320,51,60,3,157,21,18,5,5
S01011987,403,128,125,4,85,23,29,4,5
S01011988,297,161,101,6,11,0,16,2,0
S01011989,379,157,118,32,31,5,24,2,10
S01011990,364,216,96,1,6,8,25,2,10
S01011991,298,117,103,0,54,1,16,4,3
S01011992,472,246,129,2,9,2,63,6,15
S01011993,460,85,88,3,101,49,116,11,7
S01011994,305,212,74,0,3,1,8,3,4
S01011995,324,120,115,0,6,2,51,7,23
S01011996,254,81,72,0,57,16,21,1,6
S01011997,422,121,139,0,59,43,53,3,4
S01011998,220,100,89,1,9,0,16,3,2
S01011999,291,74,77,2,18,4,92,7,17
S01012000,198,78,85,0,6,3,22,3,1
S01012001,296,90,114,2,45,16,19,8,2
S01012002,243,94,83,0,50,0,9,1,6
S01012003,241,83,74,0,35,0,44,2,3
S01012004,398,174,128,1,60,3,20,4,8
S01012005,334,120,175,0,14,12,11,1,1
S01012006,280,83,67,0,9,0,74,6,41
S01012007,374,142,90,1,39,32,47,7,16
S01012008,421,146,98,4,37,37,80,10,9
S01012009,300,91,63,0,35,21,73,6,11
S01012010,524,259,132,0,17,29,57,15,15
S01012011,537,195,99,4,73,85,67,7,7
S01012012,320,125,66,15,13,53,41,2,5
S01012013,357,140,74,1,22,16,77,3,24
S01012014,402,108,97,6,85,33,55,9,9
S01012015,420,162,108,0,38,52,44,5,11
S01012016,360,137,78,1,25,20,58,17,24
S01012017,221,100,48,0,4,6,30,4,29
S01012018,374,145,93,0,27,7,58,18,26
S01012019,371,109,182,6,22,3,38,5,6
S01012020,361,91,112,3,73,53,19,4,6
S01012021,225,87,100,0,31,2,1,2,2
S01012022,289,87,133,1,49,0,16,3,0
S01012023,228,99,97,1,4,1,21,2,3
S01012024,363,101,209,0,27,5,12,5,4
S01012025,288,68,157,0,46,6,8,0,3
S01012026,211,31,160,2,4,2,8,3,1
S01012027,311,96,172,0,17,2,13,6,5
S01012028,375,181,171,0,1,2,18,0,2
S01012029,418,116,184,1,9,13,81,9,5
S01012030,249,90,87,0,9,4,49,4,6
S01012031,231,125,90,0,2,4,8,1,1
S01012032,142,76,44,0,1,2,13,0,6
S01012033,373,140,149,0,60,0,19,1,4
S01012034,386,110,155,0,68,6,40,0,7
S01012035,431,156,174,0,61,6,26,2,6
S01012036,385,194,160,0,3,2,23,2,1
S01012037,438,82,166,0,61,91,31,6,1
S01012038,366,32,56,0,261,7,9,0,1
S01012039,413,114,160,0,55,68,12,2,2
S01012040,255,64,134,0,15,27,13,1,1
S01012041,382,107,149,5,7,75,33,3,3
S01012042,408,98,176,0,81,27,19,2,5
S01012043,380,61,107,0,64,111,36,1,0
S01012044,474,83,116,2,244,5,17,4,3
S01012045,583,92,162,2,170,32,99,19,7
S01012046,376,62,85,0,116,83,25,4,1
S01012047,548,83,121,4,223,66,43,4,4
S01012048,402,50,95,3,56,137,56,3,2
S01012049,347,90,152,0,61,9,32,2,1
S01012050,423,59,248,0,11,80,23,2,0
S01012051,255,64,91,0,69,6,21,0,4
S01012052,469,124,178,1,101,16,39,5,5
S01012053,461,84,136,0,198,20,16,6,1
S01012054,443,40,85,0,135,122,56,3,2
S01012055,463,93,145,0,142,36,39,3,5
S01012056,354,101,155,0,61,27,5,3,2
S01012057,316,159,135,0,3,1,10,5,3
S01012058,328,155,109,1,24,6,29,0,4
S01012059,412,96,162,0,121,4,29,0,0
S01012060,408,87,135,0,96,58,31,1,0
S01012061,440,154,189,5,30,4,53,3,2
S01012062,335,89,206,5,4,3,23,3,2
S01012063,235,37,157,0,4,5,25,7,0
S01012064,276,9,53,2,19,175,18,0,0
S01012065,261,5,16,1,46,191,2,0,0
S01012066,382,24,152,4,95,74,32,0,1
S01012067,250,9,24,4,28,177,3,1,4
S01012068,268,5,15,0,151,89,8,0,0
S01012069,292,18,55,1,142,55,19,2,0
S01012070,449,42,56,1,259,39,49,2,1
S01012071,692,52,107,1,126,146,253,3,4
S01012072,722,71,128,0,269,67,172,10,5
S01012073,320,48,170,1,44,3,51,2,1
S01012074,343,75,186,0,3,1,71,4,3
S01012075,269,49,209,0,7,0,3,1,0
S01012076,382,80,172,0,82,0,37,4,7
S01012077,363,39,125,0,137,11,46,2,3
S01012078,367,50,215,0,66,7,27,1,1
S01012079,448,92,135,1,157,33,24,6,0
S01012080,352,15,78,1,52,192,11,1,2
S01012081,387,40,97,0,194,32,18,3,3
S01012082,323,41,98,3,155,4,17,4,1
S01012083,383,57,97,0,117,101,8,2,1
S01012084,238,82,131,0,12,4,8,0,1
S01012085,301,103,123,0,42,13,18,1,1
S01012086,448,92,146,1,78,102,24,1,4
S01012087,364,102,149,0,61,27,18,6,1
S01012088,286,55,152,0,61,3,13,2,0
S01012089,357,127,202,0,3,0,23,2,0
S01012090,356,188,152,0,4,2,8,0,2
S01012091,244,100,121,0,5,2,12,2,2
S01012092,214,84,114,0,2,1,8,4,1
S01012093,295,121,127,0,6,0,34,4,3
S01012094,317,152,150,0,1,3,9,1,1
S01012095,410,80,204,1,103,6,11,5,0
S01012096,388,105,158,0,101,8,13,2,1
S01012097,279,62,126,0,79,1,9,1,1
S01012098,277,57,132,1,69,3,14,0,1
S01012099,348,50,121,1,117,33,22,3,1
S01012100,493,108,180,0,116,67,13,6,3
S01012101,311,144,136,1,14,5,6,1,4
S01012102,319,41,88,1,159,4,22,0,4
S01012103,425,89,241,0,48,6,35,4,2
S01012104,345,68,201,0,23,6,9,35,3
S01012105,492,164,240,1,23,21,35,5,3
S01012106,497,111,270,10,9,4,79,9,5
S01012107,279,123,115,0,9,14,16,1,1
S01012108,632,116,131,2,323,9,43,5,3
S01012109,560,76,108,5,78,127,153,9,4
S01012110,458,112,144,0,70,51,69,8,4
S01012111,309,48,77,0,140,14,27,3,0
S01012112,423,150,138,1,92,5,32,2,3
S01012113,511,148,214,0,114,1,29,1,4
S01012114,357,146,155,1,8,0,40,4,3
S01012115,257,79,107,0,42,4,23,1,1
S01012116,283,92,125,0,47,6,11,2,0
S01012117,289,31,228,1,11,2,13,2,1
S01012118,226,47,163,0,4,2,9,1,0
S01012119,349,172,160,0,5,2,10,0,0
S01012120,256,62,84,1,74,6,24,4,1
S01012121,404,84,132,0,100,60,16,6,6
S01012122,318,91,143,1,56,14,11,1,1
S01012123,212,55,91,3,21,2,36,1,3
S01012124,262,70,129,0,7,7,43,2,4
S01012125,504,41,97,1,55,224,78,7,1
S01012126,389,57,215,2,13,2,91,8,1
S01012127,552,70,146,0,12,83,225,7,9
S01012128,278,17,87,0,19,34,117,4,0
S01012129,440,80,133,1,76,44,95,8,3
S01012130,687,119,163,0,280,9,108,5,3
S01012131,610,84,153,1,145,58,154,10,5
S01012132,426,68,81,1,25,72,161,5,13
S01012133,421,56,167,0,74,14,94,12,4
S01012134,606,200,233,0,17,46,87,14,9
S01012135,570,39,72,0,54,329,73,0,3
S01012136,516,21,97,1,75,139,178,3,2
S01012137,463,110,82,1,140,46,73,9,2
S01012138,460,152,198,0,49,2,43,10,6
S01012139,462,152,192,0,79,1,24,2,12
S01012140,205,107,87,0,4,1,5,0,1
S01012141,412,193,188,0,11,6,11,1,2
S01012142,395,214,165,0,1,4,8,0,3
S01012143,376,225,136,0,6,2,4,0,3
S01012144,449,213,177,2,6,12,28,9,2
S01012145,399,191,186,0,5,2,7,4,4
S01012146,572,84,129,0,210,37,92,9,11
S01012147,407,71,107,1,184,0,34,1,9
S01012148,364,52,101,0,170,2,33,5,1
S01012149,335,67,155,0,66,2,41,3,1
S01012150,359,65,123,1,148,6,13,1,2
S01012151,397,78,121,0,168,13,11,3,3
S01012152,362,41,63,1,243,0,9,4,1
S01012153,329,27,49,0,25,160,56,8,4
S01012154,513,49,99,1,56,207,89,8,4
S01012155,357,42,71,0,10,155,70,7,2
S01012156,372,49,84,0,158,47,27,6,1
S01012157,487,79,188,0,56,81,74,7,2
S01012158,487,87,276,3,33,11,63,3,11
S01012159,229,125,94,0,2,2,6,0,0
S01012160,293,146,131,0,2,0,8,5,1
S01012161,208,21,57,0,84,15,29,1,1
S01012162,386,32,134,11,72,80,48,5,4
S01012163,384,43,126,0,11,122,75,6,1
S01012164,413,45,325,0,6,2,28,6,1
S01012165,452,70,117,1,212,11,36,4,1
S01012166,292,49,98,0,90,10,39,6,0
S01012167,425,85,174,1,111,4,38,11,1
S01012168,379,186,154,1,24,1,7,1,5
S01012169,429,140,169,0,74,14,26,3,3
S01012170,543,171,191,0,143,1,29,1,7
S01012171,470,131,215,0,87,0,30,2,5
S01012172,360,107,129,1,73,6,34,6,4
S01012173,289,169,110,0,2,1,2,1,4
S01012174,301,64,215,0,7,0,12,2,1
S01012175,385,130,217,1,5,0,28,2,2
S01012176,367,134,203,0,2,1,22,4,1
S01012177,242,115,108,0,3,0,12,4,0
S01012178,212,107,93,0,3,0,3,2,4
S01012179,301,101,98,0,66,2,27,3,4
S01012180,273,120,87,0,48,1,14,2,1
S01012181,384,123,143,0,74,3,38,1,2
S01012182,431,70,276,1,17,4,55,6,2
S01012183,408,74,166,3,103,4,52,2,4
S01012184,280,26,141,0,4,3,99,5,2
S01012185,506,54,142,1,117,29,140,19,4
S01012186,344,111,118,1,81,9,21,1,2
S01012187,382,81,111,0,115,20,47,8,0
S01012188,252,118,90,0,28,2,8,2,4
S01012189,245,70,133,0,26,2,10,2,2
S01012190,210,40,152,1,0,3,14,0,0
S01012191,322,112,181,9,2,5,11,2,0
S01012192,187,80,96,0,4,2,3,0,2
S01012193,175,31,140,0,2,1,1,0,0
S01012194,179,34,141,0,2,1,1,0,0
S01012195,423,112,263,5,7,26,8,1,1
S01012196,211,40,145,2,0,10,11,2,1
S01012197,311,65,150,1,5,80,7,0,3
S01012198,403,80,182,1,14,109,13,3,1
S01012199,309,85,142,1,2,52,20,4,3
S01012200,278,72,134,0,4,51,11,4,2
S01012201,318,79,155,0,8,59,14,1,2
S01012202,239,68,130,0,4,21,15,1,0
S01012203,316,124,182,1,2,2,5,0,0
S01012204,270,100,162,0,0,1,6,0,1
S01012205,273,92,162,0,1,3,12,1,2
S01012206,317,96,184,0,3,22,10,2,0
S01012207,401,116,177,0,6,71,24,7,0
S01012208,457,134,196,0,8,87,28,3,1
S01012209,318,78,138,1,4,69,23,4,1
S01012210,385,97,134,1,10,119,19,2,3
S01012211,408,124,181,0,71,4,21,2,5
S01012212,304,163,128,0,8,0,5,0,0
S01012213,336,177,149,0,1,1,8,0,0
S01012214,282,159,112,0,1,0,8,0,2
S01012215,329,143,171,0,6,0,6,0,3
S01012216,282,127,131,0,8,3,8,1,4
S01012217,267,36,73,0,19,112,24,2,1
S01012218,228,24,48,2,88,49,17,0,0
S01012219,415,97,127,1,90,70,20,3,7
S01012220,367,42,67,2,53,155,43,2,3
S01012221,332,75,110,12,48,56,25,3,3
S01012222,402,95,155,0,64,48,31,3,6
S01012223,360,63,110,0,67,102,14,3,1
S01012224,333,73,147,10,22,60,17,3,1
S01012225,459,95,164,0,21,136,37,2,4
S01012226,287,90,156,0,6,23,8,2,2
S01012227,260,73,141,0,3,26,15,2,0
S01012228,252,66,141,1,9,19,11,2,3
S01012229,323,92,185,1,3,1,37,3,1
S01012230,392,129,237,0,1,0,20,3,2
S01012231,289,123,154,0,1,2,7,2,0
S01012232,318,118,190,0,1,0,8,0,1
S01012233,341,144,181,0,1,1,13,0,1
