,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S01012111,461,232,105,0,21,58,45
S01012112,666,192,287,0,16,56,115
S01012113,866,278,381,0,32,87,88
S01012114,834,346,369,0,19,44,56
S01012115,429,136,178,0,25,41,49
S01012116,498,159,234,0,14,44,47
S01012117,575,145,360,0,20,36,14
S01012118,494,127,314,4,14,27,8
S01012119,741,170,473,0,16,38,44
S01012120,468,204,181,0,23,30,30
S01012121,787,278,329,0,19,52,109
S01012122,671,263,280,0,26,48,54
S01012123,429,173,180,2,15,35,24
S01012124,447,183,195,0,16,31,22
S01012125,665,343,119,0,37,102,64
S01012126,673,302,224,5,26,70,46
S01012127,745,472,125,0,35,76,37
S01012128,421,254,92,0,25,35,15
S01012129,607,320,144,2,27,80,34
S01012130,982,363,284,2,43,121,169
S01012131,997,572,215,2,40,111,57
S01012132,592,327,126,4,22,78,35
S01012133,788,463,180,2,38,82,23
S01012134,1060,403,409,1,38,77,132
S01012135,744,428,101,0,37,126,52
S01012136,715,458,92,0,47,93,25
S01012137,608,286,136,0,25,81,80
S01012138,785,310,313,2,22,63,75
S01012139,783,237,346,1,24,74,101
S01012140,441,99,292,0,3,17,30
S01012141,829,204,489,4,22,46,64
S01012142,800,167,508,0,13,33,79
S01012143,766,184,450,2,8,28,94
S01012144,874,212,499,0,22,44,97
S01012145,836,209,514,0,15,24,74
S01012146,819,364,212,1,41,110,91
S01012147,622,289,143,2,22,101,65
S01012148,574,281,163,2,26,55,47
S01012149,693,264,298,0,21,53,57
S01012150,623,215,257,0,19,58,74
S01012151,626,222,233,0,25,78,68
S01012152,601,296,176,0,19,70,40
S01012153,447,267,60,0,30,73,17
S01012154,688,401,136,0,30,73,48
S01012155,497,249,111,2,27,82,26
S01012156,529,239,126,2,27,76,59
S01012157,802,347,272,0,40,84,59
S01012158,877,344,383,3,38,75,34
S01012159,454,104,278,2,11,14,45
S01012160,569,148,320,0,20,31,50
S01012161,343,156,109,0,14,39,25
S01012162,731,314,230,0,35,84,68
S01012163,586,263,211,0,32,57,23
S01012164,804,242,458,0,36,44,24
S01012165,712,329,189,0,39,100,55
S01012166,490,226,163,0,21,53,27
S01012167,690,269,277,0,27,67,50
S01012168,714,190,375,0,24,46,79
S01012169,725,231,334,0,34,69,57
S01012170,849,261,328,2,39,94,125
S01012171,832,283,355,1,30,77,86
S01012172,611,238,246,0,24,37,66
S01012173,633,126,355,0,19,23,110
S01012174,665,183,407,0,21,34,20
S01012175,686,228,343,2,24,53,36
S01012176,727,246,376,0,15,45,45
S01012177,523,132,339,0,11,21,20
S01012178,451,108,292,0,8,12,31
S01012179,520,165,222,0,12,48,73
S01012180,480,140,233,3,15,23,66
S01012181,648,211,274,2,28,49,84
S01012182,853,322,426,0,36,46,23
S01012183,616,298,162,0,32,80,44
S01012184,447,226,138,4,30,39,10
S01012185,626,359,80,0,49,113,25
S01012186,593,185,252,0,28,49,79
S01012187,584,241,184,0,23,69,67
S01012188,506,119,275,0,11,29,72
S01012189,469,150,238,0,10,31,40
S01012190,402,86,263,0,11,31,11
S01012191,718,198,441,0,17,30,32
S01012192,426,122,267,0,2,16,19
S01012193,427,119,280,2,9,9,8
S01012194,427,120,274,0,9,15,9
S01012195,899,247,524,0,21,54,53
S01012196,438,124,247,0,13,32,22
S01012197,579,165,283,0,23,53,55
S01012198,770,212,343,0,28,76,111
S01012199,602,189,291,0,30,41,51
S01012200,516,154,259,0,18,40,45
S01012201,610,187,319,0,16,44,44
S01012202,473,139,258,0,15,30,31
S01012203,676,164,424,0,15,35,38
S01012204,662,208,411,0,8,22,13
S01012205,572,153,346,0,15,38,20
S01012206,682,217,372,0,19,36,38
S01012207,724,222,327,0,34,59,82
S01012208,830,267,362,1,30,78,92
S01012209,588,202,266,4,21,48,47
S01012210,647,229,256,1,24,51,86
S01012211,739,210,382,4,33,52,58
S01012212,665,163,441,0,10,16,35
S01012213,707,166,454,0,19,28,40
S01012214,567,113,368,0,5,26,55
S01012215,722,193,452,0,11,32,34
S01012216,586,147,374,0,12,18,35
S01012217,440,235,121,0,19,29,36
S01012218,354,159,105,0,22,45,23
S01012219,721,261,273,0,26,73,88
S01012220,544,230,137,0,29,79,69
S01012221,546,177,203,0,22,49,95
S01012222,685,212,307,0,17,74,75
S01012223,584,227,194,0,30,55,78
S01012224,589,222,240,0,28,48,51
S01012225,817,341,280,0,34,79,83
S01012226,580,173,300,0,18,47,42
S01012227,527,173,259,2,22,41,30
S01012228,542,165,288,0,21,36,32
S01012229,580,172,321,4,15,37,31
S01012230,735,201,432,0,16,50,36
S01012231,645,145,430,0,17,26,27
S01012232,674,173,419,1,15,32,34
S01012233,753,173,515,0,9,36,20
S01012234,843,235,515,0,17,45,31
S01012235,407,80,288,0,3,8,28
S01012236,500,142,257,0,21,30,50
S01012237,635,137,413,0,16,31,38
S01012238,509,182,186,0,28,61,52
S01012239,485,195,164,0,16,72,38
S01012240,701,221,329,0,29,57,65
S01012241,444,84,318,0,7,23,12
S01012242,639,123,425,0,12,42,37
S01012243,485,114,295,4,14,25,33
S01012244,749,180,469,3,13,57,27
S01012245,587,110,358,0,10,49,60
S01012246,581,110,393,0,11,27,40
S01012247,613,145,355,4,16,49,44
S01012248,656,154,412,2,20,39,29
S01012249,694,148,431,4,21,56,34
S01012250,563,148,326,4,13,41,31
S01012251,780,258,344,0,23,83,72
S01012252,566,189,236,0,21,70,50
S01012253,789,264,303,0,31,95,96
S01012254,700,216,345,4,15,66,54
S01012255,815,216,382,7,23,78,109
S01012256,671,155,413,4,20,45,34
S01012257,764,190,432,0,33,59,50
S01012258,585,82,430,0,15,27,31
S01012259,518,81,362,2,7,23,43
S01012260,713,158,395,3,16,57,84
S01012261,632,117,437,0,19,36,23
S01012262,653,156,383,0,14,67,33
S01012263,596,209,232,0,27,80,48
S01012264,385,104,215,0,11,34,21
S01012265,638,190,317,0,24,51,56
S01012266,904,236,474,4,17,86,87
S01012267,596,144,333,6,20,42,51
S01012268,504,121,297,0,17,37,32
S01012269,830,197,459,0,21,62,91
S01012270,626,183,287,4,27,77,48
S01012271,817,190,500,0,17,80,30
S01012272,569,160,303,0,24,43,39
S01012273,592,120,389,2,7,34,40
S01012274,763,239,380,0,27,78,39
S01012275,724,408,187,1,30,70,28
S01012276,807,268,363,0,22,70,84
S01012277,842,306,369,6,29,93,39
S01012278,649,254,217,2,16,74,86
S01012279,639,298,220,0,16,78,27
S01012280,764,268,342,2,28,76,48
S01012281,617,260,221,2,19,58,57
S01012282,978,351,440,0,19,70,98
S01012283,713,210,351,0,26,74,52
S01012284,669,254,217,5,23,77,93
S01012285,487,95,315,0,6,28,43
S01012286,879,328,392,0,23,76,60
S01012287,764,287,268,0,31,114,64
S01012288,623,236,236,1,30,70,50
S01012289,740,159,436,2,30,38,75
S01012290,475,133,209,0,10,52,71
S01012291,734,174,406,0,34,79,41
S01012292,625,124,368,2,21,30,80
S01012293,380,97,223,0,6,34,20
S01012294,704,199,373,3,23,64,42
S01012295,569,167,299,0,20,54,29
S01012296,631,147,385,0,20,52,27
S01012297,476,86,303,0,18,44,25
S01012298,679,156,384,0,15,62,62
S01012299,506,127,307,2,16,34,20
S01012300,538,140,284,2,19,45,48
S01012301,788,173,479,1,15,74,46
S01012302,483,136,285,1,9,31,21
S01012303,720,149,469,2,15,43,42
S01012304,789,175,470,0,20,69,55
S01012305,592,150,297,0,20,65,60
S01012306,486,126,210,1,10,57,82
S01012307,533,150,260,7,18,55,43
S01012308,677,164,410,4,13,40,46
S01012309,465,107,253,2,16,43,44
S01012310,778,188,418,3,15,91,63
S01012311,494,119,265,0,8,47,55
S01012312,870,211,515,2,24,76,42
S01012313,643,161,364,1,19,59,39
S01012314,673,201,323,1,15,60,73
S01012315,663,188,271,0,18,71,115
S01012316,517,164,240,0,13,60,40
S01012317,406,87,248,0,18,25,28
S01012318,646,210,313,0,26,58,39
S01012319,642,181,341,0,18,62,40
S01012320,554,162,288,0,24,38,42
S01012321,623,165,351,1,13,39,54
S01012322,833,165,519,4,24,69,52
S01012323,763,149,485,2,19,62,46
S01012324,692,152,379,0,18,82,61
S01012325,533,93,335,4,5,46,50
S01012326,489,150,196,0,15,56,72
S01012327,659,162,336,1,26,59,75
S01012328,489,103,271,2,12,40,61
S01012329,694,164,414,3,16,60,37
S01012330,508,99,314,0,15,37,43
S01012331,492,91,308,2,12,45,34
S01012332,830,198,506,0,17,64,45
S01012333,817,162,500,0,24,64,67
S01012334,711,172,383,1,17,63,75
S01012335,799,200,432,0,32,87,48
S01012336,512,111,313,0,13,25,50
S01012337,748,225,301,2,27,68,125
S01012338,631,206,255,1,19,71,79
S01012339,525,226,152,0,21,52,74
S01012340,830,197,445,1,27,70,90
S01012341,796,162,523,2,17,68,24
S01012342,786,179,426,0,19,70,92
S01012343,821,175,498,1,24,75,48
S01012344,483,151,202,3,21,67,39
S01012345,586,140,333,0,11,69,33
S01012346,708,167,374,2,19,68,78
S01012347,639,131,349,2,19,63,75
S01012348,587,113,368,1,15,51,39
S01012349,746,208,389,6,26,58,59
S01012350,625,165,337,0,23,48,52
S01012351,674,189,325,2,33,78,47
S01012352,630,167,325,4,12,53,69
S01012353,670,238,225,0,30,80,97
S01012354,668,152,352,0,13,59,92
S01012355,768,179,462,2,19,61,45
S01012356,555,126,303,2,13,52,59
S01012357,740,141,460,0,7,71,61
S01012358,680,154,420,5,11,39,51
S01012359,619,189,266,2,35,82,45
S01012360,590,223,235,4,31,64,33
S01012361,487,175,195,2,20,58,37
S01012362,579,250,201,2,21,66,39
S01012363,845,321,285,0,38,116,85
S01012364,595,207,232,0,17,71,68
S01012365,792,191,446,5,15,75,60
S01012366,783,276,303,3,26,84,91
S01012367,787,184,456,3,18,59,67
S01012368,531,100,328,0,11,30,62
S01012369,726,172,420,0,20,62,52
S01012370,818,237,356,0,24,105,96
S01012371,813,270,314,2,24,93,110
S01012372,657,257,215,0,27,80,78
S01012373,848,247,432,0,32,62,75
S01012374,742,201,372,0,21,83,65
S01012375,755,233,354,0,25,70,73
S01012376,790,170,501,3,20,50,46
S01012377,608,143,362,0,14,49,40
S01012378,494,104,319,2,18,26,25
S01012379,427,128,223,2,17,34,23
S01012380,731,244,337,2,26,77,45
S01012381,713,199,313,1,25,76,99
S01012382,811,162,503,0,24,56,66
S01012383,734,161,403,0,17,57,96
S01012384,433,133,195,2,18,40,45
S01012385,595,190,313,0,13,55,24
S01012386,806,258,359,1,32,87,69
S01012387,755,203,420,4,18,67,43
S01012388,579,151,345,2,13,33,35
S01012389,661,207,356,2,15,51,30
S01012390,620,196,330,0,13,39,42
S01012391,785,213,468,0,25,49,30
S01012392,606,218,300,0,14,44,30
S01012393,728,216,376,0,22,73,41
S01012394,531,217,200,0,16,59,39
S01012395,514,192,219,0,14,34,55
S01012396,533,223,188,1,21,55,45
S01012397,730,216,320,2,36,79,77
S01012398,768,320,288,0,26,59,75
S01012399,505,188,178,0,16,80,43
S01012400,487,208,192,0,12,54,21
S01012401,662,302,233,0,11,80,36
S01012402,352,106,185,0,18,21,22
S01012403,860,272,472,0,13,53,50
S01012404,826,320,335,0,28,73,70
S01012405,554,147,324,0,14,41,28
S01012406,500,157,267,2,9,34,31
S01012407,639,186,340,0,16,57,40
S01012408,502,148,279,0,14,31,30
S01012409,563,169,286,2,13,43,50
S01012410,843,299,403,2,21,75,43
S01012411,763,265,353,0,30,73,42
S01012412,540,167,281,0,13,41,38
S01012413,794,203,465,2,18,39,67
S01012414,589,150,317,0,11,44,67
S01012415,451,137,268,1,5,11,29
S01012416,456,136,272,4,6,13,25
S01012417,544,127,308,0,16,38,55
S01012418,680,168,396,2,19,45,50
S01012419,678,154,389,2,12,46,75
S01012420,694,221,334,1,22,53,63
S01012421,629,185,323,0,25,40,56
S01012422,725,168,380,4,34,70,69
S01012423,696,190,391,0,12,55,48
S01012424,752,233,363,0,15,69,72
S01012425,497,182,192,0,17,60,46
S01012426,383,158,142,0,12,38,33
S01012427,523,211,196,0,28,50,38
S01012428,539,148,287,0,19,38,47
S01012429,466,126,209,1,7,60,63
S01012430,475,140,217,0,16,50,52
S01012431,790,212,396,0,17,53,112
S01012432,622,157,326,0,14,52,73
S01012433,440,143,201,1,9,45,41
S01012434,578,220,220,0,17,54,67
S01012435,527,191,219,0,17,53,47
S01012436,595,224,240,2,18,68,43
S01012437,616,191,300,2,18,57,48
S01012438,534,153,319,0,10,25,27
S01012439,645,206,307,0,20,45,67
S01012440,444,99,282,1,5,25,32
S01012441,764,172,463,2,20,55,52
S01012442,808,216,430,0,31,83,48
S01012443,616,163,344,2,14,46,47
S01012444,712,203,393,0,13,54,49
S01012445,403,101,274,0,8,12,8
S01012446,430,149,152,0,19,57,53
S01012447,725,169,445,2,18,39,52
S01012448,712,168,447,0,16,44,37
S01012449,482,158,235,0,20,34,35
S01012450,700,171,419,4,14,55,37
S01012451,787,121,501,0,12,35,118
S01012452,505,107,272,0,12,41,73
S01012453,699,96,525,0,7,9,62
S01012454,578,109,377,0,8,23,61
S01012455,498,71,374,0,5,13,35
S01012456,649,111,441,0,6,18,73
S01012457,757,91,566,0,9,29,62
S01012458,669,122,461,0,8,30,48
S01012459,584,137,365,0,17,34,31
S01012460,473,93,303,0,10,16,51
S01012461,450,134,210,0,13,51,42
S01012462,653,243,248,0,24,70,68
S01012463,480,183,180,3,20,72,22
S01012464,491,181,213,0,21,51,25
S01012465,566,186,274,2,19,46,39
S01012466,673,208,341,0,16,47,61
S01012467,562,185,262,0,21,49,45
S01012468,618,181,302,0,18,56,61
S01012469,676,132,419,0,13,34,78
S01012470,827,259,358,0,25,82,103
S01012471,732,119,502,0,9,37,65
S01012472,614,108,408,0,9,32,57
S01012473,470,102,311,1,6,28,22
S01012474,629,172,291,0,11,74,81
S01012475,558,121,326,0,13,36,62
S01012476,770,244,364,0,18,67,77
S01012477,571,128,363,0,15,31,34
S01012478,690,213,332,2,18,58,67
S01012479,554,153,326,0,8,40,27
S01012480,480,215,124,3,34,70,34
S01012481,714,338,205,1,22,98,50
S01012482,741,253,269,2,11,68,138
S01012483,811,360,231,0,28,106,86
S01012484,674,155,365,0,17,53,84
S01012485,743,158,382,2,22,59,120
S01012486,587,103,297,3,15,33,136
S01012487,529,190,215,0,31,55,38
S01012488,807,253,357,7,32,63,95
S01012489,845,434,186,4,54,118,49
S01012490,860,433,182,3,48,126,68
S01012491,359,190,71,5,20,58,15
S01012492,699,376,144,2,29,95,53
S01012493,606,163,222,0,26,99,96
S01012494,802,315,337,0,29,50,71
S01012495,862,309,339,2,31,87,94
S01012496,639,229,257,0,23,60,70
S01012497,426,158,167,0,18,43,40
S01012498,637,261,222,0,31,74,49
S01012499,589,227,187,4,28,56,87
S01012500,377,153,150,0,16,38,20
S01012501,449,229,110,0,21,64,25
S01012502,602,314,155,0,27,64,42
S01012503,523,207,182,0,23,46,65
S01012504,489,196,171,0,30,56,36
S01012505,869,349,318,2,27,87,86
S01012506,434,124,219,0,13,33,45
S01012507,815,279,338,5,26,82,85
S01012508,653,220,283,0,22,66,62
S01012509,459,129,220,0,16,37,57
S01012510,710,189,404,0,20,54,43
S01012511,552,174,262,0,16,53,47
S01012512,515,153,272,2,17,40,31
S01012513,446,111,267,0,13,32,23
S01012514,738,222,402,0,32,60,22
S01012515,529,171,198,0,16,75,69
S01012516,536,128,296,2,14,51,45
S01012517,694,245,301,0,24,71,53
S01012518,488,126,269,0,13,41,39
S01012519,460,127,216,1,17,54,45
S01012520,715,188,369,1,12,50,95
S01012521,437,140,187,5,15,42,48
S01012522,737,161,478,0,11,41,46
S01012523,750,196,403,0,24,51,76
S01012524,785,167,435,0,10,53,120
S01012525,632,132,380,2,13,50,55
S01012526,665,137,421,2,16,34,55
S01012527,539,109,337,0,13,29,51
S01012528,660,225,286,4,27,70,48
S01012529,621,190,290,0,20,56,65
S01012530,759,166,447,0,17,35,94
S01012531,621,165,335,5,24,48,44
S01012532,660,163,374,0,11,64,48
S01012533,467,151,208,0,17,43,48
S01012534,537,160,211,0,14,61,91
S01012535,685,234,304,0,22,59,66
S01012536,623,204,309,0,16,45,49
S01012537,674,262,278,1,13,61,59
S01012538,909,305,380,0,30,93,101
S01012539,584,160,290,1,25,51,57
S01012540,568,180,264,0,18,57,49
S01012541,859,269,454,1,21,68,46
S01012542,797,241,425,0,17,48,66
S01012543,549,129,336,0,10,46,28
S01012544,670,171,374,0,14,43,68
S01012545,377,122,153,0,10,43,49
S01012546,648,195,333,0,18,63,39
S01012547,627,130,397,0,11,42,47
S01012548,712,153,407,0,21,55,76
S01012549,438,161,181,0,18,47,31
S01012550,670,191,318,0,30,78,53
S01012551,677,172,422,0,10,39,34
S01012552,761,166,513,0,21,28,33
S01012553,652,190,370,0,20,48,24
S01012554,387,94,227,0,16,35,15
S01012555,437,103,277,0,16,28,13
S01012556,486,103,316,0,7,28,32
S01012557,533,109,358,0,7,20,39
S01012558,489,190,181,0,15,71,32
S01012559,661,221,221,0,32,90,97
S01012560,446,98,223,3,14,55,53
S01012561,626,166,295,0,32,75,58
S01012562,641,268,197,0,34,76,66
S01012563,560,100,390,0,8,13,49
S01012564,703,134,440,0,12,44,73
S01012565,663,146,366,0,15,50,86
S01012566,642,227,231,0,36,77,71
S01012567,897,320,319,4,46,107,101
S01012568,519,105,329,0,9,30,46
S01012569,709,146,411,6,11,26,109
S01012570,392,112,208,6,11,29,26
S01012571,672,184,356,0,30,65,37
S01012572,435,109,234,2,16,33,41
S01012573,677,147,439,2,13,40,36
S01012574,715,158,450,4,12,38,53
S01012575,542,128,323,0,14,41,36
S01012576,646,167,335,2,25,42,75
S01012577,618,155,349,1,9,64,40
S01012578,851,203,435,0,22,58,133
S01012579,547,139,307,4,17,49,31
S01012580,620,164,358,0,16,51,31
S01012581,577,220,222,1,25,46,63
S01012582,732,203,425,4,18,40,42
S01012583,584,179,285,0,31,39,50
S01012584,621,150,338,0,22,53,58
S01012585,676,236,267,0,24,79,70
S01012586,790,289,398,2,16,55,30
S01012587,708,175,430,3,17,44,39
S01012588,520,136,311,0,10,37,26
S01012589,565,179,295,0,10,37,44
S01012590,653,235,287,2,22,54,53
S01012591,653,195,314,0,19,56,69
S01012592,455,103,298,0,9,29,16
S01012593,676,159,428,1,21,27,40
S01012594,395,102,210,2,14,30,37
S01012595,532,173,256,0,14,46,43
S01012596,614,189,287,0,28,64,46
S01012597,351,109,197,0,13,24,8
S01012598,585,177,317,1,13,35,42
S01012599,565,170,295,2,17,34,47
S01012600,595,185,327,0,4,42,37
S01012601,724,173,457,0,18,35,41
S01012602,537,189,189,0,23,57,79
S01012603,588,202,254,0,13,73,46
S01012604,561,183,284,0,15,40,39
S01012605,436,116,232,0,14,35,39
S01012606,550,125,387,0,8,25,5
S01012607,624,177,350,0,17,48,32
S01012608,674,218,325,0,11,52,68
S01012609,680,232,305,0,26,58,59
S01012610,748,300,254,4,44,82,64
S01012611,697,202,385,0,11,49,50
S01012612,606,171,325,0,21,39,50
S01012613,549,188,266,0,24,38,33
S01012614,884,270,430,2,37,62,83
S01012615,572,139,314,2,17,52,48
S01012616,789,182,455,2,15,55,80
S01012617,354,93,198,4,12,15,32
S01012618,443,138,242,1,16,20,26
S01012619,490,171,179,0,23,60,57
S01012620,646,131,426,0,7,29,53
S01012621,512,140,272,0,16,37,47
S01012622,600,173,305,0,21,55,46
S01012623,555,198,229,1,14,52,61
S01012624,588,189,255,0,20,62,62
S01012625,455,153,198,0,9,58,37
S01012626,412,99,235,2,12,31,33
S01012627,431,129,196,4,24,52,26
S01012628,795,173,467,0,21,45,89
S01012629,401,101,227,4,10,27,32
S01012630,769,252,277,0,33,91,116
S01012631,727,288,291,1,30,78,39
S01012632,590,141,376,0,13,39,21
S01012633,568,125,361,1,20,35,26
S01012634,574,175,248,0,20,77,54
S01012635,878,212,537,1,23,56,49
S01012636,502,126,293,0,16,40,27
S01012637,664,257,261,0,27,59,60
S01012638,723,191,360,0,38,44,90
S01012639,683,228,350,0,14,39,52
S01012640,775,299,304,0,26,89,57
S01012641,944,261,418,0,30,48,187
S01012642,653,245,241,0,30,61,76
S01012643,375,115,202,0,10,19,29
S01012644,536,179,240,0,21,41,55
S01012645,684,161,347,0,19,53,104
S01012646,764,181,452,0,36,50,45
S01012647,529,159,306,1,19,36,8
S01012648,438,159,179,1,22,38,39
S01012649,550,202,267,0,14,29,38
S01012650,497,133,294,0,3,34,33
S01012651,523,177,208,0,18,60,60
S01012652,883,226,555,2,17,31,52
S01012653,704,286,294,2,31,51,40
S01012654,614,169,355,0,21,36,33
S01012655,964,282,459,0,26,58,139
S01012656,673,230,267,0,32,71,73
S01012657,455,162,195,0,18,31,49
S01012658,818,213,478,0,9,43,75
S01012659,771,195,516,0,21,24,15
S01012660,591,188,264,0,16,47,76
S01012661,645,186,330,2,27,55,45
S01012662,633,204,276,0,27,53,73
S01012663,597,153,360,0,9,39,36
S01012664,815,247,349,0,29,83,107
S01012665,565,208,236,0,26,48,47
S01012666,553,164,235,1,32,46,75
S01012667,482,190,185,2,16,55,34
S01012668,597,217,232,1,26,60,61
S01012669,618,147,394,0,12,29,36
S01012670,613,146,386,0,14,25,42
S01012671,762,230,377,0,23,63,69
S01012672,588,218,193,1,30,90,56
S01012673,478,200,170,0,21,46,41
S01012674,441,177,158,2,21,43,40
S01012675,641,262,240,4,25,63,47
S01012676,634,226,312,0,15,42,39
S01012677,476,161,205,0,16,55,39
S01012678,575,164,317,4,18,36,36
S01012679,668,189,346,0,20,52,61
S01012680,437,105,279,0,11,16,26
S01012681,568,165,276,0,29,44,54
S01012682,665,147,341,2,15,43,117
S01012683,604,224,262,2,28,51,37
S01012684,441,116,242,0,12,38,33
S01012685,623,204,292,0,11,71,45
S01012686,794,211,434,2,30,53,64
S01012687,456,74,316,0,5,14,47
S01012688,692,251,259,1,24,82,75
S01012689,392,86,251,3,15,17,20
S01012690,424,92,280,0,9,20,23
S01012691,595,138,373,0,26,29,29
S01012692,625,181,319,1,17,41,66
S01012693,701,159,475,0,15,29,23
S01012694,363,79,215,0,12,29,28
S01012695,651,164,404,0,18,35,30
S01012696,734,274,383,0,19,30,28
S01012697,405,85,271,0,9,18,22
S01012698,653,151,400,0,15,35,52
S01012699,847,224,474,4,29,51,65
S01012700,671,163,403,0,20,38,47
S01012701,467,105,303,0,8,19,32
S01012702,483,155,249,0,12,34,33
S01012703,464,131,285,0,13,30,5
S01012704,597,242,262,0,10,45,38
S01012705,584,144,386,0,14,24,16
S01012706,557,191,259,0,18,39,50
S01012707,728,171,490,0,12,29,26
S01012708,595,207,237,2,21,75,53
S01012709,430,118,202,0,19,43,48
S01012710,605,216,239,5,24,64,57
S01012711,716,272,228,0,39,90,87
S01012712,695,136,463,0,21,18,57
S01012713,614,151,345,0,14,27,77
S01012714,516,98,341,0,8,20,49
S01012715,624,241,204,0,38,67,74
S01012716,739,166,423,0,16,40,94
S01012717,869,319,299,2,48,82,119
S01012718,868,283,369,2,34,83,97
S01012719,695,307,228,2,40,72,46
S01012720,464,260,116,1,26,46,15
S01012721,538,156,281,0,14,32,55
S01012722,631,244,203,0,36,85,63
S01012723,572,233,188,0,38,55,58
S01012724,631,222,230,0,33,66,80
S01012725,767,325,264,2,46,73,57
S01012726,519,142,248,0,20,46,63
S01012727,566,233,228,0,31,36,38
S01012728,572,278,155,0,34,67,38
S01012729,671,194,358,0,28,51,40
S01012730,451,176,171,0,23,46,35
S01012731,626,209,305,0,30,39,43
S01012732,550,175,283,0,31,34,27
S01012733,764,205,478,0,23,41,17
S01012734,425,91,301,0,14,13,6
S01012735,401,135,195,0,9,37,25
S01012736,739,233,366,3,44,49,44
S01012737,634,202,343,0,31,31,27
S01012738,506,190,214,2,19,38,43
S01012739,614,179,384,0,13,33,5
S01012740,624,170,372,0,31,40,11
S01012741,489,150,264,1,18,36,20
S01012742,593,130,396,0,11,26,30
S01012743,506,127,313,0,14,20,32
S01012744,575,151,355,0,10,41,18
S01012745,602,128,390,0,13,25,46
S01012746,630,201,347,0,18,47,17
S01012747,684,217,330,0,37,47,53
S01012748,648,277,192,0,38,72,69
S01012749,685,314,236,0,35,62,38
S01012750,615,271,208,2,33,65,36
S01012751,706,216,327,3,24,52,84
S01012752,670,237,296,1,29,67,40
S01012753,386,146,124,0,21,50,45
S01012754,476,173,207,2,16,37,41
S01012755,442,173,126,1,26,53,63
S01012756,460,131,208,0,11,41,69
S01012757,400,137,165,2,12,42,42
S01012758,499,170,214,0,22,54,39
S01012759,585,231,190,1,34,76,53
S01012760,784,324,241,5,27,89,98
S01012761,654,243,289,1,12,58,51
S01012762,609,184,305,2,16,43,59
S01012763,349,131,140,0,16,32,30
S01012764,623,230,255,0,24,51,63
S01012765,586,180,293,5,17,44,47
S01012766,693,238,332,1,17,60,45
S01012767,483,124,296,1,14,17,31
S01012768,616,132,418,0,18,18,30
S01012769,358,100,213,0,8,15,22
S01012770,698,226,303,3,19,67,80
S01012771,602,231,225,0,27,63,56
S01012772,544,205,230,0,24,46,39
S01012773,731,238,327,1,30,64,71
S01012774,745,297,297,3,31,60,57
S01012775,369,123,160,0,18,32,36
S01012776,637,258,245,0,26,60,48
S01012777,710,256,366,2,32,40,14
S01012778,543,208,230,0,32,53,20
S01012779,340,158,115,0,21,33,13
S01012780,567,252,188,0,27,58,42
S01012781,554,174,294,0,11,41,34
S01012782,509,216,161,0,31,48,53
S01012783,558,237,184,0,28,69,40
S01012784,629,247,229,0,27,70,56
S01012785,617,265,152,2,29,92,77
S01012786,589,297,117,0,44,88,43
S01012787,447,180,195,7,16,30,19
S01012788,495,207,179,0,33,40,36
S01012789,619,183,336,0,14,47,39
S01012790,507,164,237,0,22,35,49
S01012791,607,149,357,0,7,32,62
S01012792,872,284,307,2,43,91,145
S01012793,690,361,166,1,26,77,59
S01012794,551,198,196,2,37,73,45
S01012795,868,351,318,0,49,84,66
S01012796,611,249,249,4,18,58,33
S01012797,548,228,222,3,25,45,25
S01012798,593,152,323,0,19,50,49
S01012799,666,149,366,2,19,44,86
S01012800,734,184,413,2,24,60,51
S01012801,390,91,194,0,19,28,58
S01012802,486,120,329,0,11,16,10
S01012803,573,157,346,0,12,27,31
S01012804,624,232,258,1,21,47,65
S01012805,742,279,309,1,33,52,68
S01012806,583,198,286,0,17,46,36
S01012807,474,118,316,0,10,11,19
S01012808,873,216,476,1,22,69,89
S01012809,531,216,206,0,29,47,33
S01012810,786,312,230,0,26,79,139
S01012811,663,185,341,1,18,46,72
S01012812,557,188,279,0,16,41,33
S01012813,768,172,510,0,11,26,49
S01012814,640,189,358,4,25,40,24
S01012815,625,182,370,0,25,29,19
S01012816,434,152,209,0,26,27,20
S01012817,383,93,249,0,13,23,5
S01012818,627,175,402,0,10,23,17
S01012819,606,223,208,1,37,64,73
S01012820,778,253,441,4,24,45,11
S01012821,553,169,294,4,34,42,10
S01012822,365,171,80,2,35,48,29
S01012823,635,208,361,3,18,28,17
S01012824,521,189,247,2,19,35,29
S01012825,420,152,147,3,33,54,31
S01012826,439,252,94,0,25,58,10
S01012827,478,146,288,0,16,22,6
S01012828,462,156,247,0,23,22,14
S01012829,653,265,249,0,35,54,50
S01012830,565,182,270,0,19,43,51
S01012831,560,164,229,1,28,54,84
S01012832,436,158,196,0,15,33,34
S01012833,572,236,187,3,41,62,43
S01012834,561,201,216,0,37,49,58
S01012835,771,277,299,1,34,72,88
S01012836,527,143,294,2,23,24,41
S01012837,579,300,105,0,40,99,35
S01012838,708,388,118,2,57,102,41
S01012839,578,171,327,0,19,38,23
S01012840,584,149,369,0,16,41,9
