,All people aged 16 and over in households,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
S01011823,506,230,66,124,2,10,32,42
S01011824,553,224,84,138,4,20,43,40
S01011825,462,206,56,116,2,16,21,45
S01011826,549,236,92,138,2,10,31,40
S01011827,472,236,44,92,7,6,45,42
S01011828,759,410,96,143,9,11,34,56
S01011829,357,186,56,66,0,4,25,20
S01011830,474,244,48,89,6,22,26,39
S01011831,732,396,64,124,14,22,43,69
S01011832,715,404,62,137,7,14,32,59
S01011833,764,508,40,139,6,7,24,40
S01011834,369,292,10,41,1,5,11,9
S01011835,549,338,60,86,1,13,23,28
S01011836,657,418,48,107,4,13,29,38
S01011837,520,358,38,77,2,7,14,24
S01011838,679,444,46,117,3,6,21,42
S01011839,825,472,92,126,4,16,40,75
S01011840,788,454,66,140,8,21,51,48
S01011841,745,390,70,147,6,20,41,71
S01011842,790,338,80,179,0,37,68,88
S01011843,805,514,64,125,2,16,40,44
S01011844,578,368,52,86,3,7,22,40
S01011845,674,352,63,125,8,18,56,52
S01011846,724,426,56,141,3,16,34,48
S01011847,343,242,26,50,1,4,12,8
S01011848,588,354,66,93,9,5,21,40
S01011849,650,360,60,127,5,17,46,35
S01011850,560,316,52,103,8,10,33,38
S01011851,707,346,108,153,10,11,37,42
S01011852,811,376,94,186,5,25,39,86
S01011853,571,282,84,127,3,15,36,24
S01011854,650,362,52,116,8,16,28,68
S01011855,706,348,72,167,1,16,47,55
S01011856,597,392,40,85,3,6,12,59
S01011857,571,334,50,106,3,12,21,45
S01011858,735,470,40,110,3,13,37,62
S01011859,752,386,52,138,8,19,42,107
S01011860,408,240,40,68,12,7,26,15
S01011861,615,332,66,111,3,21,36,46
S01011862,805,540,36,120,3,7,36,63
S01011863,623,342,44,146,8,13,30,40
S01011864,608,386,46,105,3,7,17,44
S01011865,504,236,48,112,3,11,35,59
S01011866,636,384,58,96,3,11,31,53
S01011867,766,344,80,178,4,24,55,81
S01011868,702,300,96,165,3,21,48,69
S01011869,664,270,78,171,7,22,68,48
S01011870,561,252,68,143,3,22,41,32
S01011871,864,480,106,170,3,16,43,46
S01011872,723,462,86,108,4,9,34,20
S01011873,646,368,88,116,4,12,29,29
S01011874,542,296,74,99,2,9,28,34
S01011875,571,286,72,100,5,10,38,60
S01011876,751,440,78,123,5,25,43,37
S01011877,469,260,48,72,2,12,38,37
S01011878,759,476,74,125,4,14,25,41
S01011879,441,269,28,93,5,9,18,19
S01011880,482,314,50,67,4,8,16,23
S01011881,638,294,108,117,6,15,40,58
S01011882,810,418,64,159,6,17,48,98
S01011883,837,510,94,132,6,12,36,47
S01011884,345,210,28,71,3,2,11,20
S01011885,527,338,76,68,4,8,10,23
S01011886,703,402,72,127,5,12,35,50
S01011887,468,216,60,111,5,10,29,37
S01011888,665,260,78,178,4,31,62,52
S01011889,742,378,68,130,9,21,43,93
S01011890,570,280,78,130,3,11,41,27
S01011891,602,198,82,177,3,18,66,58
S01011892,817,290,156,240,11,35,55,30
S01011893,798,290,168,202,4,23,58,53
S01011894,530,212,82,158,3,11,32,32
S01011895,547,322,50,87,4,8,19,57
S01011896,727,372,78,134,7,15,54,67
S01011897,826,470,88,150,2,20,36,60
S01011898,518,340,40,90,0,10,19,19
S01011899,662,434,50,90,3,6,33,46
S01011900,602,376,46,112,4,7,28,29
S01011901,727,378,98,149,3,16,30,53
S01011902,899,562,52,154,8,15,26,82
S01011903,678,450,36,102,2,6,20,62
S01011904,623,416,42,85,3,7,23,47
S01011905,612,412,28,118,8,7,13,26
S01011906,370,224,44,51,2,5,23,21
S01011907,632,326,84,143,4,10,34,31
S01011908,294,166,44,48,3,6,18,9
S01011909,783,410,159,151,2,14,33,14
S01011910,720,200,132,236,4,23,68,57
S01011911,538,244,60,113,2,16,43,60
S01011912,578,206,90,141,7,23,60,51
S01011913,581,186,122,151,4,22,58,38
S01011914,608,166,120,197,3,18,66,38
S01011915,643,266,94,155,3,20,52,53
S01011916,459,202,58,119,2,9,32,37
S01011917,421,184,38,109,4,13,37,36
S01011918,582,172,90,194,1,24,68,33
S01011919,677,218,134,228,3,23,44,27
S01011920,521,180,80,148,8,20,35,50
S01011921,465,160,66,123,5,23,51,37
S01011922,620,240,86,181,3,19,55,36
S01011923,672,226,132,193,8,17,54,42
S01011924,354,156,54,74,1,12,38,19
S01011925,551,310,76,124,4,11,19,7
S01011926,523,222,62,139,5,10,57,28
S01011927,502,196,64,136,0,15,56,35
S01011928,603,266,86,141,0,13,47,50
S01011929,588,226,76,146,3,18,56,63
S01011930,508,200,74,124,5,10,50,45
S01011931,474,150,72,167,2,21,40,22
S01011932,512,152,130,169,4,13,30,14
S01011933,561,174,92,180,9,17,60,29
S01011934,908,378,142,234,13,25,62,54
S01011935,721,202,100,260,16,25,68,50
S01011936,597,160,98,223,11,17,57,31
S01011937,615,122,124,220,17,27,65,40
S01011938,601,196,104,159,10,25,59,48
S01011939,639,126,94,305,7,24,64,19
S01011940,381,80,66,166,11,10,15,33
S01011941,623,76,144,271,14,27,67,24
S01011942,784,122,144,330,8,20,75,85
S01011943,1001,168,166,410,19,40,117,81
S01011944,384,250,30,62,2,7,11,22
S01011945,639,464,28,81,6,5,14,41
S01011946,656,312,62,149,7,12,56,58
S01011947,415,276,14,62,3,8,13,39
S01011948,879,442,68,171,5,21,62,110
S01011949,713,458,40,86,3,8,28,90
S01011950,631,356,47,107,4,7,37,73
S01011951,563,288,62,109,2,11,29,62
S01011952,393,286,38,37,1,1,10,20
S01011953,609,362,44,99,8,16,25,55
S01011954,402,202,36,75,5,8,30,46
S01011955,820,386,86,168,8,30,63,79
S01011956,783,524,52,121,5,14,26,41
S01011957,607,352,42,122,6,14,35,36
S01011958,896,514,88,159,5,19,52,59
S01011959,711,422,62,134,2,19,28,44
S01011960,633,414,74,91,1,11,21,21
S01011961,573,312,82,94,2,20,24,39
S01011962,541,368,58,80,2,7,14,12
S01011963,414,212,52,65,3,12,25,45
S01011964,824,480,86,146,7,11,48,46
S01011965,678,366,44,134,5,13,33,83
S01011966,673,410,58,113,11,6,28,47
S01011967,805,472,94,131,5,20,41,42
S01011968,832,364,134,189,3,16,55,71
S01011969,873,440,122,170,7,25,44,65
S01011970,761,294,148,187,4,24,59,45
S01011971,444,254,36,78,0,14,28,34
S01011972,978,554,94,178,4,26,54,68
S01011973,512,310,56,88,0,11,20,27
S01011974,625,386,66,105,3,9,21,35
S01011975,393,218,52,73,3,4,18,25
S01011976,644,344,88,114,1,11,38,48
S01011977,947,466,110,216,4,17,53,81
S01011978,587,280,66,109,1,15,40,76
S01011979,768,492,80,105,4,15,16,56
S01011980,342,196,44,55,3,3,19,22
S01011981,738,402,92,134,10,21,36,43
S01011982,783,474,78,140,4,12,35,40
S01011983,624,342,64,107,3,8,36,64
S01011984,537,226,52,140,9,21,31,58
S01011985,567,304,74,111,4,9,27,38
S01011986,528,198,74,144,10,11,48,43
S01011987,771,418,74,163,6,13,48,49
S01011988,557,350,36,85,3,10,19,54
S01011989,719,390,70,126,4,18,48,63
S01011990,654,408,34,95,4,10,27,76
S01011991,587,302,52,132,4,8,29,60
S01011992,827,422,90,158,5,15,55,82
S01011993,714,202,132,183,8,22,81,86
S01011994,619,450,28,74,3,5,10,49
S01011995,652,414,68,105,5,11,21,28
S01011996,460,220,34,102,3,8,40,53
S01011997,745,338,96,187,0,22,49,53
S01011998,426,312,24,49,2,6,10,23
S01011999,527,266,68,97,8,11,36,41
S01012000,375,226,55,49,0,6,11,28
S01012001,522,274,68,94,1,8,36,41
S01012002,462,280,28,78,2,7,23,44
S01012003,457,210,60,99,4,12,39,33
S01012004,721,384,92,121,0,16,39,69
S01012005,675,420,58,131,3,15,27,21
S01012006,523,312,56,94,10,10,15,26
S01012007,681,360,70,115,7,11,46,72
S01012008,732,369,92,145,7,14,50,55
S01012009,537,266,74,107,7,18,26,39
S01012010,945,486,102,194,15,10,51,87
S01012011,909,396,104,232,8,27,53,89
S01012012,571,338,50,75,3,8,35,62
S01012013,645,370,60,110,8,16,38,43
S01012014,682,272,96,177,14,12,50,61
S01012015,778,390,106,152,1,23,39,67
S01012016,670,398,65,116,5,15,25,46
S01012017,423,254,48,78,4,5,10,24
S01012018,693,416,56,123,9,15,37,37
S01012019,661,362,66,135,8,22,33,35
S01012020,586,262,54,136,2,12,51,69
S01012021,472,254,44,127,1,6,21,19
S01012022,529,284,54,112,2,11,27,39
S01012023,441,240,56,84,3,11,16,31
S01012024,690,426,54,120,3,14,38,35
S01012025,560,326,40,117,1,11,25,40
S01012026,465,300,34,96,2,11,13,9
S01012027,641,394,66,124,2,5,23,27
S01012028,780,510,48,146,4,13,21,38
S01012029,825,404,80,215,8,26,41,51
S01012030,528,284,50,136,4,13,25,16
S01012031,461,312,38,65,1,5,13,27
S01012032,295,168,18,69,1,3,13,23
S01012033,696,338,68,157,0,18,36,79
S01012034,658,296,74,157,6,18,51,56
S01012035,768,396,76,172,2,27,42,53
S01012036,735,420,30,183,5,14,36,47
S01012037,757,314,77,217,2,34,50,63
S01012038,630,154,82,270,5,25,56,38
S01012039,801,350,78,226,4,20,34,89
S01012040,555,298,36,144,5,19,25,28
S01012041,721,334,76,185,5,14,54,53
S01012042,754,326,62,211,2,22,39,92
S01012043,687,258,84,225,7,27,51,35
S01012044,756,260,76,238,4,28,61,89
S01012045,894,274,134,293,2,38,81,72
S01012046,571,160,52,205,2,26,66,60
S01012047,805,240,70,251,3,32,86,123
S01012048,586,164,68,172,6,25,72,79
S01012049,575,214,78,161,12,18,45,47
S01012050,801,398,78,209,8,25,51,32
S01012051,427,192,22,113,1,12,31,56
S01012052,763,310,46,222,3,22,66,94
S01012053,750,278,72,239,5,21,67,68
S01012054,650,142,96,270,1,31,71,39
S01012055,735,252,78,214,5,24,74,88
S01012056,667,352,48,144,2,19,43,59
S01012057,639,388,38,124,3,17,20,49
S01012058,633,342,32,156,4,12,36,51
S01012059,706,268,70,206,6,18,50,88
S01012060,705,294,62,198,5,11,47,88
S01012061,815,426,74,210,4,16,34,51
S01012062,692,384,58,172,3,13,31,31
S01012063,406,178,62,110,0,16,31,9
S01012064,473,120,68,207,1,31,30,16
S01012065,416,86,44,191,5,24,46,20
S01012066,635,186,78,251,4,34,53,29
S01012067,419,78,36,205,3,30,39,28
S01012068,433,72,44,218,1,21,38,39
S01012069,403,70,62,177,3,19,49,23
S01012070,615,112,60,253,4,28,86,72
S01012071,915,146,130,412,11,41,111,64
S01012072,971,188,110,436,7,45,100,85
S01012073,554,212,112,151,3,20,27,29
S01012074,588,254,82,163,5,12,42,30
S01012075,582,340,52,141,1,13,22,13
S01012076,615,272,52,163,2,14,44,68
S01012077,587,180,94,206,2,28,47,30
S01012078,677,314,72,199,2,20,50,20
S01012079,763,284,76,235,6,21,60,81
S01012080,564,164,90,207,2,31,46,24
S01012081,581,140,78,233,3,27,60,40
S01012082,512,160,46,184,2,23,39,58
S01012083,584,164,60,201,3,22,72,62
S01012084,487,254,48,112,2,13,24,34
S01012085,588,310,40,136,2,18,32,50
S01012086,750,254,86,243,9,29,66,63
S01012087,608,242,56,170,1,23,50,66
S01012088,555,290,60,138,6,16,26,19
S01012089,692,420,30,164,7,8,28,35
S01012090,758,514,32,144,2,10,16,40
S01012091,465,238,38,111,10,12,20,36
S01012092,433,256,32,80,7,15,22,21
S01012093,478,216,40,136,5,19,24,38
S01012094,646,406,32,121,4,17,20,46
S01012095,827,374,98,256,4,20,45,30
S01012096,725,252,94,215,4,21,63,76
S01012097,537,240,70,138,2,12,35,40
S01012098,509,178,50,172,3,11,40,55
S01012099,642,234,48,217,6,20,49,68
S01012100,876,352,88,243,6,22,63,102
S01012101,661,372,44,167,2,7,25,44
S01012102,501,146,60,203,2,22,41,27
S01012103,763,321,100,215,4,23,66,34
S01012104,700,436,50,140,1,13,29,31
S01012105,923,468,74,212,11,29,53,76
S01012106,897,430,130,236,9,21,36,35
S01012107,541,302,46,126,3,9,23,32
S01012108,852,220,54,253,6,32,108,179
S01012109,766,164,96,312,7,50,83,54
S01012110,635,176,90,188,4,18,78,81
S01012111,461,100,70,180,3,19,44,45
S01012112,666,288,44,153,1,14,51,115
S01012113,866,376,98,210,4,25,70,83
S01012114,673,364,60,147,4,17,27,54
S01012115,429,174,42,109,3,22,31,48
S01012116,498,232,48,124,1,12,35,46
S01012117,575,360,78,86,1,15,22,13
S01012118,494,320,30,108,0,11,19,6
S01012119,741,468,54,142,3,10,24,40
S01012120,468,178,48,170,1,22,20,29
S01012121,737,316,58,234,4,19,40,66
S01012122,669,280,60,223,3,17,33,53
S01012123,424,180,32,146,3,12,27,24
S01012124,447,190,40,145,5,15,30,22
S01012125,665,108,86,269,11,37,91,63
S01012126,634,218,102,216,5,23,51,19
S01012127,744,116,120,369,5,32,68,34
S01012128,421,84,86,180,8,23,25,15
S01012129,607,138,66,267,7,24,72,33
S01012130,916,258,100,280,10,38,103,127
S01012131,853,196,102,361,9,32,97,56
S01012132,590,112,84,257,17,18,69,33
S01012133,635,174,106,230,5,34,63,23
S01012134,967,392,120,254,8,32,53,108
S01012135,744,98,92,351,1,32,118,52
S01012136,715,88,110,371,6,42,73,25
S01012137,608,128,62,246,8,20,65,79
S01012138,785,306,90,241,4,20,53,71
S01012139,783,340,84,177,7,21,55,99
S01012140,441,288,20,85,4,3,13,28
S01012141,829,490,48,169,3,19,37,63
S01012142,800,504,46,143,3,8,18,78
S01012143,766,450,26,171,4,5,18,92
S01012144,874,496,60,173,1,21,27,96
S01012145,832,510,44,171,4,13,16,74
S01012146,819,198,88,300,12,38,94,89
S01012147,622,140,72,237,7,16,87,63
S01012148,574,156,96,208,4,21,43,46
S01012149,638,278,74,207,5,15,35,24
S01012150,623,250,54,182,5,16,43,73
S01012151,626,228,51,179,6,23,72,67
S01012152,601,174,68,246,1,14,58,40
S01012153,447,52,76,213,1,27,61,17
S01012154,688,130,104,308,8,25,66,47
S01012155,497,106,64,203,6,24,69,25
S01012156,528,122,48,204,4,26,67,57
S01012157,802,268,112,262,5,34,65,56
S01012158,854,372,134,222,12,32,52,30
S01012159,454,278,28,84,2,8,9,45
S01012160,569,316,52,114,4,14,20,49
S01012161,343,106,36,127,3,14,32,25
S01012162,645,210,104,224,1,31,56,19
S01012163,586,208,64,216,6,21,49,22
S01012164,804,450,112,161,4,28,27,22
S01012165,712,178,98,256,8,37,81,54
S01012166,490,158,40,192,5,19,50,26
S01012167,689,272,64,219,2,25,60,47
S01012168,714,368,54,160,6,20,29,77
S01012169,725,330,66,181,6,30,55,57
S01012170,849,316,88,199,8,36,77,125
S01012171,832,348,94,211,6,25,64,84
S01012172,611,240,64,183,4,23,32,65
S01012173,570,340,18,112,7,18,11,64
S01012174,665,408,36,156,1,15,30,19
S01012175,686,338,74,172,4,21,44,33
S01012176,727,374,54,207,2,15,33,42
S01012177,523,336,16,121,3,11,16,20
S01012178,451,290,36,82,1,6,6,30
S01012179,517,216,38,138,5,11,38,71
S01012180,480,230,28,118,6,13,20,65
S01012181,648,262,36,190,12,28,38,82
S01012182,853,420,126,224,4,25,31,23
S01012183,616,162,114,204,2,26,67,41
S01012184,447,140,86,150,4,27,31,9
S01012185,626,74,84,294,6,43,102,23
S01012186,581,248,50,144,3,24,36,76
S01012187,584,176,50,206,5,21,60,66
S01012188,464,256,38,85,6,9,21,49
S01012189,469,236,52,109,1,8,25,38
S01012190,402,264,40,68,0,7,14,9
S01012191,718,436,34,177,4,13,23,31
S01012192,426,260,22,110,6,1,10,17
S01012193,427,278,26,99,2,9,6,7
S01012194,427,274,8,116,0,8,14,7
S01012195,899,520,62,212,2,16,35,52
S01012196,438,244,28,103,5,11,25,22
S01012197,579,276,36,143,4,22,44,54
S01012198,696,326,50,174,6,24,61,55
S01012199,602,290,42,162,3,26,31,48
S01012200,516,256,20,138,7,14,36,45
S01012201,610,316,60,143,1,13,35,42
S01012202,473,254,36,115,4,9,24,31
S01012203,676,418,36,144,6,12,24,36
S01012204,662,404,34,179,7,7,18,13
S01012205,572,344,40,129,2,14,24,19
S01012206,682,372,54,177,2,13,27,37
S01012207,724,324,52,183,3,32,50,80
S01012208,830,356,80,213,5,27,62,87
S01012209,588,264,56,163,3,18,37,47
S01012210,647,256,64,178,2,18,43,86
S01012211,739,376,46,176,11,29,44,57
S01012212,665,442,28,142,1,8,10,34
S01012213,707,448,38,142,5,15,22,37
S01012214,567,366,28,101,3,2,16,51
S01012215,722,454,24,175,0,8,27,34
S01012216,586,374,24,133,1,11,11,32
S01012217,440,114,70,179,5,17,19,36
S01012218,354,102,34,137,3,22,35,21
S01012219,721,272,64,217,3,22,60,83
S01012220,544,134,60,181,3,25,74,67
S01012221,546,196,48,146,1,20,45,90
S01012222,685,302,48,183,2,16,61,73
S01012223,584,196,60,181,2,23,48,74
S01012224,589,242,66,174,2,20,36,49
S01012225,817,278,105,270,3,24,56,81
S01012226,580,298,40,146,1,18,35,42
S01012227,527,256,36,154,3,18,31,29
S01012228,542,286,48,131,1,18,26,32
S01012229,580,322,54,130,1,15,27,31
S01012230,735,432,64,157,1,12,33,36
S01012231,645,426,24,132,6,13,18,26
S01012232,674,416,44,144,2,14,20,34
S01012233,753,512,36,154,3,9,21,18
S01012234,843,510,64,193,3,13,32,28
S01012235,407,286,8,77,0,2,6,28
S01012236,500,258,28,122,1,18,28,45
S01012237,635,412,30,114,3,13,25,38
S01012238,509,178,82,124,5,25,47,48
S01012239,485,160,68,153,2,13,52,37
S01012240,701,324,72,175,7,19,40,64
S01012241,444,314,28,60,4,7,19,12
S01012242,639,418,32,110,6,9,30,34
S01012243,485,296,42,87,1,11,16,32
S01012244,699,456,82,95,5,6,32,23
S01012245,587,350,44,83,5,8,37,60
S01012246,581,390,34,82,3,11,21,40
S01012247,584,348,70,94,6,14,21,31
S01012248,653,400,60,109,12,14,29,29
S01012249,694,426,54,121,9,14,36,34
S01012250,553,324,78,84,6,7,26,28
S01012251,778,338,90,195,4,18,62,71
S01012252,563,230,96,122,1,17,47,50
S01012253,786,292,84,207,8,22,77,96
S01012254,700,344,82,157,3,14,47,53
S01012255,750,360,80,137,9,19,61,84
S01012256,671,412,70,111,3,17,28,30
S01012257,761,428,54,148,4,28,49,50
S01012258,585,426,26,70,4,13,15,31
S01012259,518,356,22,68,6,7,16,43
S01012260,686,386,58,120,6,14,38,64
S01012261,632,432,56,82,5,14,21,22
S01012262,648,370,94,109,7,12,26,30
S01012263,595,222,86,161,6,22,53,45
S01012264,385,212,30,85,2,8,27,21
S01012265,638,316,60,148,1,21,37,55
S01012266,902,472,100,174,1,12,60,83
S01012267,567,334,66,98,2,14,20,33
S01012268,504,296,48,95,2,13,22,28
S01012269,827,448,80,144,5,20,39,91
S01012270,624,288,72,138,3,26,52,45
S01012271,817,494,118,122,7,13,35,28
S01012272,569,302,78,111,1,19,21,37
S01012273,592,390,40,98,1,5,21,37
S01012274,763,374,106,169,4,23,51,36
S01012275,717,178,122,312,8,21,48,28
S01012276,769,354,86,201,1,21,52,54
S01012277,836,360,154,198,8,17,62,37
S01012278,617,200,52,207,17,14,67,60
S01012279,639,212,94,228,9,12,57,27
S01012280,764,336,100,192,7,23,58,48
S01012281,617,220,104,183,2,15,41,52
S01012282,795,430,54,145,5,16,51,94
S01012283,687,346,74,162,3,20,50,32
S01012284,665,214,92,197,4,16,53,89
S01012285,487,310,24,84,2,4,21,42
S01012286,879,386,98,252,5,21,59,58
S01012287,764,256,135,204,8,19,83,59
S01012288,623,228,80,182,9,24,52,48
S01012289,719,430,44,119,6,23,26,71
S01012290,474,208,54,97,1,8,37,69
S01012291,731,396,74,128,6,31,55,41
S01012292,587,354,32,93,6,16,22,64
S01012293,380,220,44,64,3,6,23,20
S01012294,704,370,71,159,2,19,44,39
S01012295,546,286,86,105,4,12,36,17
S01012296,631,380,80,97,2,16,31,25
S01012297,476,298,62,51,3,11,26,25
S01012298,678,382,62,118,1,12,42,61
S01012299,505,302,74,83,5,10,13,18
S01012300,533,284,52,104,1,13,32,47
S01012301,786,468,88,130,10,10,36,44
S01012302,455,276,48,79,7,6,19,20
S01012303,720,464,64,104,6,11,30,41
S01012304,789,462,80,134,2,16,44,51
S01012305,591,294,52,123,2,16,45,59
S01012306,486,208,44,103,1,10,41,79
S01012307,526,258,38,124,8,12,47,39
S01012308,677,408,52,129,5,10,27,46
S01012309,465,256,50,78,1,14,25,41
S01012310,766,404,106,125,4,13,56,58
S01012311,492,262,38,100,2,6,32,52
S01012312,859,500,72,163,11,21,50,42
S01012313,640,356,76,108,5,18,39,38
S01012314,673,320,72,149,2,12,47,71
S01012315,629,258,68,148,5,17,46,87
S01012316,517,240,56,125,1,8,48,39
S01012317,406,246,42,57,2,15,17,27
S01012318,646,312,114,131,1,18,34,36
S01012319,642,336,88,128,4,14,33,39
S01012320,554,284,70,125,2,15,20,38
S01012321,623,342,82,108,6,13,21,51
S01012322,833,510,78,121,13,18,44,49
S01012323,761,480,68,117,8,11,34,43
S01012324,675,370,88,103,6,13,47,48
S01012325,533,334,40,72,3,5,29,50
S01012326,475,194,44,124,2,13,42,56
S01012327,659,330,80,120,4,18,38,69
S01012328,487,262,32,83,10,10,30,60
S01012329,694,412,70,117,1,16,42,36
S01012330,508,312,48,72,0,14,23,39
S01012331,492,306,52,67,1,7,30,29
S01012332,830,500,102,136,5,13,32,42
S01012333,817,498,98,104,2,20,35,60
S01012334,678,374,68,129,2,11,44,50
S01012335,799,426,92,157,2,24,55,43
S01012336,512,308,36,88,2,7,22,49
S01012337,725,288,78,166,7,25,54,107
S01012338,611,246,80,157,4,14,51,59
S01012339,522,146,70,169,4,19,41,73
S01012340,830,438,82,153,8,18,45,86
S01012341,788,514,76,118,5,11,41,23
S01012342,741,410,82,140,2,12,38,57
S01012343,821,494,100,105,7,18,52,45
S01012344,483,198,88,94,6,16,42,39
S01012345,586,328,66,109,1,9,42,31
S01012346,654,358,78,110,6,13,44,45
S01012347,639,346,64,100,5,12,39,73
S01012348,586,364,52,84,2,10,36,38
S01012349,746,388,92,145,3,21,38,59
S01012350,623,328,66,123,7,20,29,50
S01012351,674,324,88,140,2,30,43,47
S01012352,608,320,58,125,5,10,35,55
S01012353,665,216,80,179,4,26,63,97
S01012354,663,340,60,121,5,10,37,90
S01012355,732,442,52,134,5,10,44,45
S01012356,555,300,67,86,3,10,33,56
S01012357,712,450,82,101,4,5,33,37
S01012358,670,412,78,107,11,6,15,41
S01012359,619,260,96,138,7,27,48,43
S01012360,590,230,97,162,4,22,43,32
S01012361,487,192,80,118,1,13,46,37
S01012362,579,194,122,161,3,19,46,34
S01012363,845,276,94,259,5,36,93,82
S01012364,595,232,86,149,0,12,52,64
S01012365,792,440,88,137,7,13,48,59
S01012366,781,298,108,205,6,22,55,87
S01012367,785,452,60,150,2,15,41,65
S01012368,500,322,30,83,2,10,16,37
S01012369,723,416,72,135,4,12,35,49
S01012370,811,350,102,168,4,23,70,94
S01012371,753,298,100,195,3,19,68,70
S01012372,655,208,76,204,5,25,61,76
S01012373,837,422,106,169,8,26,36,70
S01012374,742,364,111,138,1,18,48,62
S01012375,755,348,94,171,4,19,50,69
S01012376,787,492,52,146,9,18,32,38
S01012377,593,354,37,116,4,12,38,32
S01012378,491,316,46,75,1,13,16,24
S01012379,424,222,76,71,3,13,17,22
S01012380,731,338,94,178,1,21,57,42
S01012381,711,310,56,162,4,21,59,99
S01012382,811,500,58,132,1,22,35,63
S01012383,712,392,74,113,7,16,36,74
S01012384,433,194,64,93,2,12,27,41
S01012385,590,304,72,147,3,10,32,22
S01012386,762,330,90,198,5,24,67,48
S01012387,751,412,88,142,7,16,45,41
S01012388,566,346,50,108,0,13,24,25
S01012389,661,354,80,154,2,11,31,29
S01012390,620,324,68,146,5,10,27,40
S01012391,785,466,110,136,2,17,25,29
S01012392,606,296,64,165,4,13,35,29
S01012393,728,360,92,159,15,16,45,41
S01012394,498,186,84,151,1,12,41,23
S01012395,503,212,66,139,5,10,26,45
S01012396,527,182,112,141,4,10,34,44
S01012397,718,312,86,164,6,27,49,74
S01012398,741,262,112,235,16,16,41,59
S01012399,505,174,100,128,3,13,45,42
S01012400,487,180,68,151,11,11,45,21
S01012401,662,222,112,220,11,10,52,35
S01012402,352,182,44,78,5,12,11,20
S01012403,860,454,108,194,10,12,33,49
S01012404,810,310,126,231,20,18,50,55
S01012405,554,322,70,98,2,13,23,26
S01012406,500,264,62,115,4,8,20,27
S01012407,639,330,74,141,9,10,36,39
S01012408,502,276,56,111,3,8,20,28
S01012409,551,274,66,124,8,8,27,44
S01012410,825,384,140,199,16,16,41,29
S01012411,763,342,96,201,7,27,53,37
S01012412,537,274,54,130,6,8,28,37
S01012413,788,462,88,150,2,10,14,62
S01012414,580,314,42,119,2,10,32,61
S01012415,441,260,36,109,3,3,7,23
S01012416,456,268,38,106,7,5,7,25
S01012417,539,302,44,101,3,14,23,52
S01012418,664,386,60,125,3,15,27,48
S01012419,632,372,68,108,5,11,26,42
S01012420,693,326,92,162,4,17,33,59
S01012421,614,318,46,144,7,21,25,53
S01012422,721,372,74,132,9,27,42,65
S01012423,695,382,86,137,5,8,31,46
S01012424,752,360,106,157,3,12,46,68
S01012425,497,194,52,142,0,15,49,45
S01012426,383,140,52,119,2,8,29,33
S01012427,523,192,100,129,1,26,40,35
S01012428,539,280,78,88,4,16,27,46
S01012429,466,208,52,103,1,4,39,59
S01012430,475,216,44,110,0,14,41,50
S01012431,768,374,68,166,10,16,35,99
S01012432,621,318,58,118,5,12,42,68
S01012433,438,198,50,105,1,9,34,41
S01012434,578,218,72,167,4,13,39,65
S01012435,527,216,56,149,2,15,43,46
S01012436,595,242,74,175,0,14,50,40
S01012437,616,292,68,141,6,14,47,48
S01012438,528,312,52,111,0,9,18,26
S01012439,615,296,74,138,5,19,38,45
S01012440,444,272,26,88,8,4,14,32
S01012441,764,460,76,131,5,15,29,48
S01012442,773,420,76,144,6,25,56,46
S01012443,616,344,70,122,3,6,26,45
S01012444,582,374,30,108,5,6,20,39
S01012445,403,268,28,82,6,7,4,8
S01012446,427,148,58,111,2,15,43,50
S01012447,725,442,44,142,2,14,31,50
S01012448,710,442,58,128,5,14,31,32
S01012449,482,234,60,112,1,16,24,35
S01012450,680,410,42,144,4,9,34,37
S01012451,739,494,30,99,2,9,22,83
S01012452,505,270,28,96,3,9,30,69
S01012453,662,510,26,71,4,5,6,40
S01012454,578,372,22,96,5,8,15,60
S01012455,498,368,16,65,3,3,8,35
S01012456,615,434,24,92,2,6,10,47
S01012457,757,562,22,83,4,8,20,58
S01012458,669,456,26,113,4,5,18,47
S01012459,584,358,54,105,8,10,18,31
S01012460,473,302,24,76,1,8,11,51
S01012461,450,206,44,110,2,12,38,38
S01012462,653,244,72,192,4,23,54,64
S01012463,480,180,82,134,3,14,47,20
S01012464,491,212,58,143,2,17,34,25
S01012465,566,270,66,143,2,16,34,35
S01012466,673,334,42,179,7,16,35,60
S01012467,562,260,68,137,4,15,34,44
S01012468,618,298,68,139,3,14,39,57
S01012469,646,416,42,94,3,7,20,64
S01012470,827,356,82,203,3,21,61,101
S01012471,702,488,30,105,9,7,20,43
S01012472,614,402,40,85,1,9,21,56
S01012473,470,306,38,82,4,5,13,22
S01012474,629,282,40,155,10,8,57,77
S01012475,558,324,24,107,3,9,29,62
S01012476,770,358,78,184,2,16,57,75
S01012477,571,358,40,103,5,12,19,34
S01012478,690,326,64,174,4,14,42,66
