"DZ_CODE","unmarriedPCTZscore","livingalonePCTZscore","rentedPCTZscore","movedPCTZscore","SFI","LAname"
"S01000991",-0.77,-0.911080194320389,1.6347786940504,-0.43479314871825,-0.662643167685103,"Dumfries and Galloway"
"S01000992",-0.64,-0.971588871873209,-0.207125452227419,-0.359512588919361,-0.645707157923284,"Dumfries and Galloway"
"S01000993",-0.91,-1.07067613640453,-0.374474796719389,-0.247258608849525,2.55895226870714,"Dumfries and Galloway"
"S01000994",-0.43,-0.373195301214761,0.271377400522203,0.00570096235761658,0.47872771663166,"Dumfries and Galloway"
"S01000995",-1.32,-1.36784461807549,-0.35232058437748,-0.557470700446656,-0.394762750895583,"Dumfries and Galloway"
"S01000996",-0.11,-0.29210935289791,-0.0961993071957526,0.0160284930153794,2.74406058147564,"Dumfries and Galloway"
"S01000997",-1.29,-1.13999756400918,-0.690751331568819,-1.01109601059771,1.30879843460626,"Dumfries and Galloway"
"S01000998",1.02,1.31220525189705,1.08734583560468,0.450844319809769,3.57116322425361,"Dumfries and Galloway"
"S01000999",-0.86,-0.989651091152348,-0.127294274114452,-0.29152219227106,-0.393854409530342,"Dumfries and Galloway"
"S01001000",0.18,0.0487849253587817,0.562794089109161,-0.0235603745060452,-0.290665440194887,"Dumfries and Galloway"
"S01001001",-0.69,-1.03324169870931,0.522737329771284,0.0201670025784178,-0.315962234685992,"Dumfries and Galloway"
"S01001002",0.03,-0.0992912756599061,0.410239712326764,0.134079860889092,2.56960732134442,"Dumfries and Galloway"
"S01001003",-0.99,-1.15043536261565,-0.431939820948745,-0.536609147515579,-0.884495922591391,"Dumfries and Galloway"
"S01001004",-1.12,-0.874590014986407,-0.595556971093316,-0.546289145993926,0.230027420353726,"Dumfries and Galloway"
"S01001005",-0.96,-0.655019173717843,-0.454235089440155,-0.845845544171425,0.544176614577663,"Dumfries and Galloway"
"S01001006",-1.37,-1.21007430983228,-0.459635806652359,-0.307720468048715,-1.38289395818986,"Dumfries and Galloway"
"S01001007",0.63,0.390562125114619,-0.0534342123026368,-0.10913622314396,1.97006781463251,"Dumfries and Galloway"
"S01001008",0.61,0.550619524688022,1.49680047757282,0.598173363997089,3.78033166861338,"Dumfries and Galloway"
"S01001009",-0.12,-0.00894277682762501,0.243030755479087,-0.0941497754220965,1.15831402029333,"Dumfries and Galloway"
"S01001010",1.23,1.17429798515492,0.876154968510072,1.18727183032098,-0.216628662055207,"Dumfries and Galloway"
"S01001011",-0.91,-1.09647621660325,1.77281925243084,-0.229584072831826,0.648710636847785,"Dumfries and Galloway"
"S01001012",-0.79,-0.785232641215431,-0.521825883641385,-0.705255132020123,-0.35842234882478,"Dumfries and Galloway"
"S01001013",0.43,-0.131777113970936,0.44048372871511,0.979112844714231,-0.289214167695084,"Dumfries and Galloway"
"S01001014",1.59,1.64340616889332,2.77359356438759,1.52723500753937,-0.449043234945978,"Dumfries and Galloway"
"S01001015",0.99,0.714724205364015,0.381181735796783,0.176905351168462,2.85756057575657,"Dumfries and Galloway"
"S01001016",-0.83,-0.705560190795307,-0.148886847057805,-0.687739389591485,0.369524408040741,"Dumfries and Galloway"
"S01001017",0.35,0.0571642758284145,-0.313611109615027,0.227759722948145,1.33018750328747,"Dumfries and Galloway"
"S01001018",0.72,0.388524910035258,0.28015400328291,0.163668179411068,-0.130837422778727,"Dumfries and Galloway"
"S01001019",1.24,1.04002629241485,-0.153907344813096,-0.231581878391349,-0.356322129635779,"Dumfries and Galloway"
"S01001020",0.18,-0.115564161721248,-0.514590473022163,1.2310888591036,2.70650108430722,"Dumfries and Galloway"
"S01001021",-0.1,-0.134247252571418,0.732366433079034,-0.126026590129991,-0.140544660938551,"Dumfries and Galloway"
"S01001022",0.57,0.405956385149094,1.34542280175226,0.801623342456093,-0.421233392654765,"Dumfries and Galloway"
"S01001023",-1.07,-1.14689665722132,2.87621978050389,-0.249514133098296,0.846119526265662,"Dumfries and Galloway"
"S01001024",-0.7,-1.12589909935655,-0.299391350313121,0.334848571563857,1.68094688197175,"Dumfries and Galloway"
"S01001025",-0.86,-1.07517322437397,-0.116220289760657,0.182602411548563,-0.507567774828123,"Dumfries and Galloway"
"S01001026",-0.62,-0.66436320792649,-0.371624118749762,-0.745793578873199,1.21463119105817,"Dumfries and Galloway"
"S01001027",-0.71,-0.510896755575575,-0.636700416623275,-0.577122857186415,0.918230602758772,"Dumfries and Galloway"
"S01001028",0.47,0.0455014040026852,-0.299529438233805,-0.201986479753768,0.126649946884085,"Dumfries and Galloway"
"S01001029",0.94,0.635628153985391,-0.612906934965706,-0.287409150459178,-0.412365918177838,"Dumfries and Galloway"
"S01001030",-1.26,-1.18863906993345,-0.638980378227463,-0.186737282088766,0.177202242160846,"Dumfries and Galloway"
"S01001031",0.28,-0.141267422888809,-0.839919884806149,0.116105178812485,0.788426194581671,"Dumfries and Galloway"
"S01001032",0.99,0.544439770775674,-0.306507037503098,0.0270126874721908,0.774342605121478,"Dumfries and Galloway"
"S01001033",0.88,0.797865179645456,-0.263995367880924,-0.272685899958545,0.333157835772456,"Dumfries and Galloway"
"S01001034",1.48,1.23087199965747,-0.61014416617078,0.493476851847579,0.992824591558429,"Dumfries and Galloway"
"S01001035",0.44,0.218490208590034,-0.269792413738493,-0.615651166045527,0.493489729638326,"Dumfries and Galloway"
"S01001036",1.15,0.906384983208783,-0.432330167055977,-0.471219107248307,-0.200676124655196,"Dumfries and Galloway"
"S01001037",0.65,0.715208984294367,-0.697012462882011,-0.287130165064962,1.66534618455254,"Dumfries and Galloway"
"S01001038",-1.16,-1.29911820010844,-0.0699436772080958,-0.416208095798848,-0.853252218643145,"Dumfries and Galloway"
"S01001039",-0.99,-1.18445485437007,1.30999919988009,-0.40139535095078,0.513124407390125,"Dumfries and Galloway"
"S01001040",-1.17,-1.13280708052472,0.0386401543244862,-0.117724110044129,0.196598041549142,"Dumfries and Galloway"
"S01001041",-0.91,-0.893530109828538,-0.354062464538073,1.33785550196532,0.420302511865866,"Dumfries and Galloway"
"S01001042",-0.59,-0.959879512368818,-0.102630650089712,-0.108994029482149,1.11902318993971,"Dumfries and Galloway"
"S01001043",-0.76,-1.02800478320766,-0.321259221364525,-0.725761949988469,0.310497899210445,"Dumfries and Galloway"
"S01001044",-0.82,-0.59648160650757,0.342813742605749,-0.510198915269402,-0.0619792856591744,"Dumfries and Galloway"
"S01001045",-0.92,-0.982915138067365,-0.307821831408939,-0.657175371275772,0.892216122551646,"Dumfries and Galloway"
"S01001046",-0.46,-0.655426060384614,0.52496422141999,-0.0548668957172023,-0.572383124798766,"Dumfries and Galloway"
"S01001047",-0.98,-0.735098959522337,0.0921233305247264,-0.203029907269836,-0.295571083708836,"Dumfries and Galloway"
"S01001048",-0.95,-1.09269921603943,-0.173324721970899,-0.656120735451999,-0.388975310900227,"Dumfries and Galloway"
"S01001049",-0.16,-0.309893102172001,-0.466836762935299,-0.642730262541125,0.329066597913441,"Dumfries and Galloway"
